number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_num_layers,params_window_size,state
0,0.00010752123456794706,2025-03-17 20:58:11.955158,2025-03-17 21:08:22.073073,0 days 00:10:10.117915,64,10,128,0.0007183604127598309,2,288,COMPLETE
1,0.0001244696643920021,2025-03-17 21:08:22.073073,2025-03-17 21:19:44.031983,0 days 00:11:21.958910,32,15,32,0.008277200939679189,3,5,COMPLETE
2,0.00010411010096854904,2025-03-17 21:19:44.033020,2025-03-17 21:28:02.258070,0 days 00:08:18.225050,64,10,256,0.0001999764785490582,3,30,COMPLETE
3,0.0001665387059676815,2025-03-17 21:28:02.260071,2025-03-17 21:37:53.523106,0 days 00:09:51.263035,16,10,64,0.0001391141665472412,3,5,COMPLETE
4,0.00010512495803808081,2025-03-17 21:37:53.524698,2025-03-17 21:41:08.158831,0 days 00:03:14.634133,64,15,128,0.0027276680492965637,1,30,COMPLETE
5,0.00011169867191052978,2025-03-17 21:41:08.160826,2025-03-17 21:42:47.510968,0 days 00:01:39.350142,32,5,32,0.0005205155755154675,2,288,COMPLETE
6,0.0001717212091146845,2025-03-17 21:42:47.514233,2025-03-17 21:43:01.756571,0 days 00:00:14.242338,64,15,256,0.005958905191667269,1,30,PRUNED
7,0.0004928161726268684,2025-03-17 21:43:01.756571,2025-03-17 21:44:12.348592,0 days 00:01:10.592021,16,10,32,0.00011456493563399163,1,288,PRUNED
8,0.0005743626308295568,2025-03-17 21:44:12.348592,2025-03-17 21:44:34.440536,0 days 00:00:22.091944,32,15,64,0.00018479160545200845,2,5,PRUNED
9,0.00010638727690801258,2025-03-17 21:44:34.440536,2025-03-17 23:06:41.505939,0 days 01:22:07.065403,16,15,256,0.00024708413812730203,1,576,COMPLETE
10,0.00014483620961533943,2025-03-17 23:06:41.505939,2025-03-17 23:07:21.958814,0 days 00:00:40.452875,64,5,256,0.0017047137151721837,3,30,PRUNED
11,0.000149251256975841,2025-03-17 23:07:21.958814,2025-03-17 23:07:57.807079,0 days 00:00:35.848265,64,10,128,0.0021891695082229367,2,30,PRUNED
12,0.0001177745184857594,2025-03-17 23:07:57.807079,2025-03-17 23:09:23.752632,0 days 00:01:25.945553,64,15,128,0.0032308597635542138,3,30,PRUNED
13,0.0007919351792894144,2025-03-17 23:09:23.752632,2025-03-17 23:09:39.555644,0 days 00:00:15.803012,64,10,128,0.0004116122571680667,1,30,PRUNED
14,0.0001237881324583703,2025-03-17 23:09:39.555644,2025-03-17 23:30:14.305647,0 days 00:20:34.750003,64,5,256,0.0010943832870705854,2,576,PRUNED
15,0.0003645413794175343,2025-03-17 23:30:14.305647,2025-03-17 23:30:57.628760,0 days 00:00:43.323113,64,15,128,0.0031629151922343514,3,30,PRUNED
16,0.0005092128735459727,2025-03-17 23:30:57.628760,2025-03-17 23:31:20.368057,0 days 00:00:22.739297,64,10,256,0.00031044853692830613,1,30,PRUNED
17,0.00014348120399766063,2025-03-17 23:31:20.372569,2025-03-17 23:32:12.965256,0 days 00:00:52.592687,64,15,64,0.001235913405310933,2,30,PRUNED
18,0.00023068682397713397,2025-03-17 23:32:12.965256,2025-03-17 23:33:26.883143,0 days 00:01:13.917887,32,10,128,0.004075911549778006,1,576,PRUNED
19,0.00045656616968728836,2025-03-17 23:33:26.883143,2025-03-17 23:35:45.605695,0 days 00:02:18.722552,16,5,256,0.0007625608077863414,3,30,PRUNED
