date,cluster,group,split
2006-12-17,5,WEEKEND,train
2006-12-23,3,WEEKEND,train
2006-12-24,5,WEEKEND,train
2006-12-30,0,WEEKEND,train
2006-12-31,3,WEEKEND,train
2007-01-06,4,WEEKEND,train
2007-01-07,0,WEEKEND,train
2007-01-13,3,WEEKEND,train
2007-01-14,5,WEEKEND,train
2007-01-20,0,WEEKEND,train
2007-01-21,3,WEEKEND,train
2007-01-27,4,WEEKEND,train
2007-01-28,5,WEEKEND,train
2007-02-03,5,WEEKEND,train
2007-02-04,5,WEEKEND,train
2007-02-10,3,WEEKEND,train
2007-02-11,5,WEEKEND,train
2007-02-17,2,WEEKEND,train
2007-02-18,5,WEEKEND,train
2007-02-24,1,WEEKEND,train
2007-02-25,1,WEEKEND,train
2007-03-03,1,WEEKEND,train
2007-03-04,0,WEEKEND,train
2007-03-10,3,WEEKEND,train
2007-03-11,5,WEEKEND,train
2007-03-17,2,WEEKEND,train
2007-03-18,3,WEEKEND,train
2007-03-24,3,WEEKEND,train
2007-03-25,5,WEEKEND,train
2007-03-31,3,WEEKEND,train
2007-04-01,3,WEEKEND,train
2007-04-07,4,WEEKEND,train
2007-04-08,1,WEEKEND,train
2007-04-14,1,WEEKEND,train
2007-04-15,1,WEEKEND,train
2007-04-21,2,WEEKEND,train
2007-04-22,4,WEEKEND,train
2007-04-28,1,WEEKEND,train
2007-04-29,1,WEEKEND,train
2007-05-05,4,WEEKEND,train
2007-05-06,2,WEEKEND,train
2007-05-12,4,WEEKEND,train
2007-05-13,4,WEEKEND,train
2007-05-19,4,WEEKEND,train
2007-05-20,2,WEEKEND,train
2007-05-26,4,WEEKEND,train
2007-05-27,0,WEEKEND,train
2007-06-02,4,WEEKEND,train
2007-06-03,2,WEEKEND,train
2007-06-09,1,WEEKEND,train
2007-06-10,4,WEEKEND,train
2007-06-16,0,WEEKEND,train
2007-06-17,2,WEEKEND,train
2007-06-23,1,WEEKEND,train
2007-06-24,1,WEEKEND,train
2007-06-30,2,WEEKEND,train
2007-07-01,1,WEEKEND,train
2007-07-07,1,WEEKEND,train
2007-07-08,1,WEEKEND,train
2007-07-14,4,WEEKEND,train
2007-07-15,1,WEEKEND,train
2007-07-21,1,WEEKEND,train
2007-07-22,4,WEEKEND,train
2007-07-28,4,WEEKEND,train
2007-07-29,1,WEEKEND,train
2007-08-04,1,WEEKEND,train
2007-08-05,1,WEEKEND,train
2007-08-11,1,WEEKEND,train
2007-08-12,1,WEEKEND,train
2007-08-18,1,WEEKEND,train
2007-08-19,2,WEEKEND,train
2007-08-25,1,WEEKEND,train
2007-08-26,4,WEEKEND,train
2007-09-01,4,WEEKEND,train
2007-09-02,4,WEEKEND,train
2007-09-08,4,WEEKEND,train
2007-09-09,2,WEEKEND,train
2007-09-15,1,WEEKEND,train
2007-09-16,2,WEEKEND,train
2007-09-22,4,WEEKEND,train
2007-09-23,2,WEEKEND,train
2007-09-29,0,WEEKEND,train
2007-09-30,4,WEEKEND,train
2007-10-06,4,WEEKEND,train
2007-10-07,2,WEEKEND,train
2007-10-13,0,WEEKEND,train
2007-10-14,2,WEEKEND,train
2007-10-20,4,WEEKEND,train
2007-10-21,2,WEEKEND,train
2007-10-27,4,WEEKEND,train
2007-10-28,1,WEEKEND,train
2007-11-03,1,WEEKEND,train
