date,cluster,group,split
2006-12-17,0,PV_ALL,train
2006-12-18,1,PV_ALL,train
2006-12-19,0,PV_ALL,train
2006-12-20,1,PV_ALL,train
2006-12-21,3,PV_ALL,train
2006-12-22,1,PV_ALL,train
2006-12-23,1,PV_ALL,train
2006-12-24,3,PV_ALL,train
2006-12-25,3,PV_ALL,train
2006-12-26,3,PV_ALL,train
2006-12-27,0,PV_ALL,train
2006-12-28,3,PV_ALL,train
2006-12-29,3,PV_ALL,train
2006-12-30,3,PV_ALL,train
2006-12-31,3,PV_ALL,train
2007-01-01,3,PV_ALL,train
2007-01-02,1,PV_ALL,train
2007-01-03,3,PV_ALL,train
2007-01-04,3,PV_ALL,train
2007-01-05,1,PV_ALL,train
2007-01-06,0,PV_ALL,train
2007-01-07,3,PV_ALL,train
2007-01-08,0,PV_ALL,train
2007-01-09,3,PV_ALL,train
2007-01-10,3,PV_ALL,train
2007-01-11,0,PV_ALL,train
2007-01-12,3,PV_ALL,train
2007-01-13,1,PV_ALL,train
2007-01-14,0,PV_ALL,train
2007-01-15,0,PV_ALL,train
2007-01-16,3,PV_ALL,train
2007-01-17,1,PV_ALL,train
2007-01-18,3,PV_ALL,train
2007-01-19,3,PV_ALL,train
2007-01-20,3,PV_ALL,train
2007-01-21,3,PV_ALL,train
2007-01-22,3,PV_ALL,train
2007-01-23,1,PV_ALL,train
2007-01-24,3,PV_ALL,train
2007-01-25,3,PV_ALL,train
2007-01-26,3,PV_ALL,train
2007-01-27,3,PV_ALL,train
2007-01-28,0,PV_ALL,train
2007-01-29,3,PV_ALL,train
2007-01-30,0,PV_ALL,train
2007-01-31,3,PV_ALL,train
2007-02-01,3,PV_ALL,train
2007-02-02,3,PV_ALL,train
2007-02-03,3,PV_ALL,train
2007-02-04,3,PV_ALL,train
2007-02-05,1,PV_ALL,train
2007-02-06,3,PV_ALL,train
2007-02-07,3,PV_ALL,train
2007-02-08,0,PV_ALL,train
2007-02-09,0,PV_ALL,train
2007-02-10,2,PV_ALL,train
2007-02-11,1,PV_ALL,train
2007-02-12,1,PV_ALL,train
