date,cluster,group,split
2006-12-17,5,PV_ALL,train
2006-12-18,0,PV_ALL,train
2006-12-19,4,PV_ALL,train
2006-12-20,4,PV_ALL,train
2006-12-21,6,PV_ALL,train
2006-12-22,4,PV_ALL,train
2006-12-23,0,PV_ALL,train
2006-12-24,6,PV_ALL,train
2006-12-25,6,PV_ALL,train
2006-12-26,6,PV_ALL,train
2006-12-27,6,PV_ALL,train
2006-12-28,6,PV_ALL,train
2006-12-29,6,PV_ALL,train
2006-12-30,6,PV_ALL,train
2006-12-31,6,PV_ALL,train
2007-01-01,6,PV_ALL,train
2007-01-02,4,PV_ALL,train
2007-01-03,2,PV_ALL,train
2007-01-04,4,PV_ALL,train
2007-01-05,0,PV_ALL,train
2007-01-06,4,PV_ALL,train
2007-01-07,6,PV_ALL,train
2007-01-08,4,PV_ALL,train
2007-01-09,4,PV_ALL,train
2007-01-10,4,PV_ALL,train
2007-01-11,1,PV_ALL,train
2007-01-12,4,PV_ALL,train
2007-01-13,4,PV_ALL,train
2007-01-14,6,PV_ALL,train
2007-01-15,4,PV_ALL,train
2007-01-16,6,PV_ALL,train
2007-01-17,4,PV_ALL,train
2007-01-18,6,PV_ALL,train
2007-01-19,4,PV_ALL,train
2007-01-20,6,PV_ALL,train
2007-01-21,6,PV_ALL,train
2007-01-22,2,PV_ALL,train
2007-01-23,0,PV_ALL,train
2007-01-24,4,PV_ALL,train
2007-01-25,6,PV_ALL,train
2007-01-26,6,PV_ALL,train
2007-01-27,6,PV_ALL,train
2007-01-28,6,PV_ALL,train
2007-01-29,6,PV_ALL,train
2007-01-30,1,PV_ALL,train
2007-01-31,4,PV_ALL,train
2007-02-01,0,PV_ALL,train
2007-02-02,4,PV_ALL,train
2007-02-03,1,PV_ALL,train
2007-02-04,4,PV_ALL,train
2007-02-05,4,PV_ALL,train
2007-02-06,4,PV_ALL,train
2007-02-07,4,PV_ALL,train
2007-02-08,6,PV_ALL,train
2007-02-09,4,PV_ALL,train
2007-02-10,3,PV_ALL,train
2007-02-11,4,PV_ALL,train
2007-02-12,4,PV_ALL,train
2007-02-13,4,PV_ALL,train
2007-02-14,6,PV_ALL,train
2007-02-15,6,PV_ALL,train
2007-02-16,5,PV_ALL,train
2007-02-17,5,PV_ALL,train
2007-02-18,2,PV_ALL,train
2007-02-19,1,PV_ALL,train
2007-02-20,1,PV_ALL,train
2007-02-21,3,PV_ALL,train
2007-02-22,5,PV_ALL,train
2007-02-23,5,PV_ALL,train
2007-02-24,2,PV_ALL,train
2007-02-25,1,PV_ALL,train
2007-02-26,3,PV_ALL,train
2007-02-27,2,PV_ALL,train
2007-02-28,0,PV_ALL,train
2007-03-01,4,PV_ALL,train
2007-03-02,1,PV_ALL,train
2007-03-03,5,PV_ALL,train
2007-03-04,1,PV_ALL,train
2007-03-05,5,PV_ALL,train
2007-03-06,5,PV_ALL,train
2007-03-07,5,PV_ALL,train
2007-03-08,5,PV_ALL,train
2007-03-09,1,PV_ALL,train
2007-03-10,5,PV_ALL,train
2007-03-11,5,PV_ALL,train
2007-03-12,5,PV_ALL,train
2007-03-13,5,PV_ALL,train
2007-03-14,5,PV_ALL,train
2007-03-15,5,PV_ALL,train
2007-03-16,5,PV_ALL,train
2007-03-17,5,PV_ALL,train
2007-03-18,1,PV_ALL,train
2007-03-19,5,PV_ALL,train
2007-03-20,4,PV_ALL,train
2007-03-21,0,PV_ALL,train
2007-03-22,1,PV_ALL,train
2007-03-23,5,PV_ALL,train
2007-03-24,5,PV_ALL,train
2007-03-25,5,PV_ALL,train
2007-03-26,5,PV_ALL,train
2007-03-27,5,PV_ALL,train
2007-03-28,5,PV_ALL,train
2007-03-29,5,PV_ALL,train
2007-03-30,0,PV_ALL,train
2007-03-31,5,PV_ALL,train
2007-04-01,5,PV_ALL,train
2007-04-02,5,PV_ALL,train
2007-04-03,1,PV_ALL,train
2007-04-04,2,PV_ALL,train
2007-04-05,5,PV_ALL,train
2007-04-06,5,PV_ALL,train
2007-04-07,5,PV_ALL,train
2007-04-08,0,PV_ALL,train
2007-04-09,1,PV_ALL,train
2007-04-10,5,PV_ALL,train
2007-04-11,5,PV_ALL,train
2007-04-12,5,PV_ALL,train
2007-04-13,5,PV_ALL,train
2007-04-14,5,PV_ALL,train
2007-04-15,3,PV_ALL,train
2007-04-16,2,PV_ALL,train
2007-04-17,1,PV_ALL,train
2007-04-18,1,PV_ALL,train
2007-04-19,2,PV_ALL,train
2007-04-20,2,PV_ALL,train
2007-04-21,1,PV_ALL,train
2007-04-22,1,PV_ALL,train
2007-04-23,1,PV_ALL,train
2007-04-24,1,PV_ALL,train
2007-04-25,1,PV_ALL,train
2007-04-26,1,PV_ALL,train
2007-04-27,1,PV_ALL,train
2007-04-28,1,PV_ALL,train
2007-04-29,1,PV_ALL,train
2007-04-30,1,PV_ALL,train
2007-05-01,1,PV_ALL,train
2007-05-02,1,PV_ALL,train
2007-05-03,1,PV_ALL,train
2007-05-04,1,PV_ALL,train
2007-05-05,1,PV_ALL,train
2007-05-06,2,PV_ALL,train
2007-05-07,2,PV_ALL,train
2007-05-08,0,PV_ALL,train
2007-05-09,1,PV_ALL,train
2007-05-10,1,PV_ALL,train
2007-05-11,1,PV_ALL,train
2007-05-12,1,PV_ALL,train
2007-05-13,1,PV_ALL,train
2007-05-14,0,PV_ALL,train
2007-05-15,0,PV_ALL,train
2007-05-16,0,PV_ALL,train
2007-05-17,2,PV_ALL,train
2007-05-18,2,PV_ALL,train
2007-05-19,2,PV_ALL,train
2007-05-20,2,PV_ALL,train
2007-05-21,2,PV_ALL,train
2007-05-22,2,PV_ALL,train
2007-05-23,0,PV_ALL,train
2007-05-24,3,PV_ALL,train
2007-05-25,0,PV_ALL,train
2007-05-26,1,PV_ALL,train
2007-05-27,1,PV_ALL,train
2007-05-28,1,PV_ALL,train
2007-05-29,1,PV_ALL,train
2007-05-30,1,PV_ALL,train
2007-05-31,1,PV_ALL,train
2007-06-01,1,PV_ALL,train
2007-06-02,2,PV_ALL,train
2007-06-03,0,PV_ALL,train
2007-06-04,0,PV_ALL,train
2007-06-05,2,PV_ALL,train
2007-06-06,0,PV_ALL,train
2007-06-07,0,PV_ALL,train
2007-06-08,0,PV_ALL,train
2007-06-09,2,PV_ALL,train
2007-06-10,0,PV_ALL,train
2007-06-11,0,PV_ALL,train
2007-06-12,2,PV_ALL,train
2007-06-13,2,PV_ALL,train
2007-06-14,2,PV_ALL,train
2007-06-15,2,PV_ALL,train
2007-06-16,2,PV_ALL,train
2007-06-17,2,PV_ALL,train
2007-06-18,2,PV_ALL,train
2007-06-19,2,PV_ALL,train
2007-06-20,2,PV_ALL,train
2007-06-21,2,PV_ALL,train
2007-06-22,2,PV_ALL,train
2007-06-23,2,PV_ALL,train
2007-06-24,2,PV_ALL,train
2007-06-25,2,PV_ALL,train
2007-06-26,2,PV_ALL,train
2007-06-27,3,PV_ALL,train
2007-06-28,3,PV_ALL,train
2007-06-29,0,PV_ALL,train
2007-06-30,2,PV_ALL,train
2007-07-01,2,PV_ALL,train
2007-07-02,0,PV_ALL,train
2007-07-03,1,PV_ALL,train
2007-07-04,2,PV_ALL,train
2007-07-05,2,PV_ALL,train
2007-07-06,2,PV_ALL,train
2007-07-07,2,PV_ALL,train
2007-07-08,2,PV_ALL,train
2007-07-09,2,PV_ALL,train
2007-07-10,2,PV_ALL,train
2007-07-11,2,PV_ALL,train
2007-07-12,2,PV_ALL,train
2007-07-13,0,PV_ALL,train
2007-07-14,2,PV_ALL,train
2007-07-15,0,PV_ALL,train
2007-07-16,2,PV_ALL,train
2007-07-17,2,PV_ALL,train
2007-07-18,2,PV_ALL,train
2007-07-19,2,PV_ALL,train
2007-07-20,1,PV_ALL,train
2007-07-21,3,PV_ALL,train
2007-07-22,1,PV_ALL,train
2007-07-23,2,PV_ALL,train
2007-07-24,2,PV_ALL,train
2007-07-25,1,PV_ALL,train
2007-07-26,2,PV_ALL,train
2007-07-27,2,PV_ALL,train
2007-07-28,1,PV_ALL,train
2007-07-29,2,PV_ALL,train
2007-07-30,2,PV_ALL,train
2007-07-31,2,PV_ALL,train
2007-08-01,1,PV_ALL,train
2007-08-02,2,PV_ALL,train
2007-08-03,1,PV_ALL,train
2007-08-04,1,PV_ALL,train
2007-08-05,1,PV_ALL,train
2007-08-06,1,PV_ALL,train
2007-08-07,1,PV_ALL,train
2007-08-08,1,PV_ALL,train
2007-08-09,1,PV_ALL,train
2007-08-10,2,PV_ALL,train
2007-08-11,1,PV_ALL,train
2007-08-12,2,PV_ALL,train
2007-08-13,1,PV_ALL,train
2007-08-14,2,PV_ALL,train
2007-08-15,2,PV_ALL,train
2007-08-16,0,PV_ALL,train
2007-08-17,3,PV_ALL,train
2007-08-18,3,PV_ALL,train
2007-08-19,3,PV_ALL,train
2007-08-20,1,PV_ALL,train
2007-08-21,3,PV_ALL,train
2007-08-22,3,PV_ALL,train
2007-08-23,2,PV_ALL,train
2007-08-24,5,PV_ALL,train
2007-08-25,5,PV_ALL,train
2007-08-26,5,PV_ALL,train
2007-08-27,5,PV_ALL,train
2007-08-28,1,PV_ALL,train
2007-08-29,1,PV_ALL,train
2007-08-30,1,PV_ALL,train
2007-08-31,1,PV_ALL,train
2007-09-01,1,PV_ALL,train
2007-09-02,1,PV_ALL,train
2007-09-03,1,PV_ALL,train
2007-09-04,1,PV_ALL,train
2007-09-05,1,PV_ALL,train
2007-09-06,1,PV_ALL,train
2007-09-07,1,PV_ALL,train
2007-09-08,1,PV_ALL,train
2007-09-09,1,PV_ALL,train
2007-09-10,1,PV_ALL,train
2007-09-11,1,PV_ALL,train
2007-09-12,2,PV_ALL,train
2007-09-13,1,PV_ALL,train
2007-09-14,1,PV_ALL,train
2007-09-15,1,PV_ALL,train
2007-09-16,1,PV_ALL,train
2007-09-17,1,PV_ALL,train
2007-09-18,1,PV_ALL,train
2007-09-19,0,PV_ALL,train
2007-09-20,2,PV_ALL,train
2007-09-21,3,PV_ALL,train
2007-09-22,0,PV_ALL,train
2007-09-23,0,PV_ALL,train
2007-09-24,1,PV_ALL,train
2007-09-25,5,PV_ALL,train
2007-09-26,5,PV_ALL,train
2007-09-27,5,PV_ALL,train
2007-09-28,5,PV_ALL,train
2007-09-29,1,PV_ALL,train
2007-09-30,5,PV_ALL,train
2007-10-01,5,PV_ALL,train
2007-10-02,1,PV_ALL,train
2007-10-03,1,PV_ALL,train
2007-10-04,0,PV_ALL,train
2007-10-05,1,PV_ALL,train
2007-10-06,5,PV_ALL,train
2007-10-07,1,PV_ALL,train
2007-10-08,1,PV_ALL,train
2007-10-09,0,PV_ALL,train
2007-10-10,3,PV_ALL,train
2007-10-11,2,PV_ALL,train
2007-10-12,6,PV_ALL,train
2007-10-13,6,PV_ALL,train
2007-10-14,5,PV_ALL,train
2007-10-15,4,PV_ALL,train
2007-10-16,3,PV_ALL,train
2007-10-17,0,PV_ALL,train
2007-10-18,6,PV_ALL,train
2007-10-19,5,PV_ALL,train
2007-10-20,0,PV_ALL,train
2007-10-21,0,PV_ALL,train
2007-10-22,6,PV_ALL,train
2007-10-23,5,PV_ALL,train
2007-10-24,5,PV_ALL,train
2007-10-25,0,PV_ALL,train
2007-10-26,5,PV_ALL,train
2007-10-27,6,PV_ALL,train
2007-10-28,5,PV_ALL,train
2007-10-29,6,PV_ALL,train
2007-10-30,1,PV_ALL,train
2007-10-31,3,PV_ALL,train
2007-11-01,5,PV_ALL,train
2007-11-02,4,PV_ALL,train
2007-11-03,6,PV_ALL,train
2007-11-04,5,PV_ALL,train
2007-11-05,6,PV_ALL,train
2007-11-06,6,PV_ALL,train
2007-11-07,6,PV_ALL,train
2007-11-08,6,PV_ALL,train
2007-11-09,6,PV_ALL,train
2007-11-10,6,PV_ALL,train
2007-11-11,2,PV_ALL,train
2007-11-12,1,PV_ALL,train
2007-11-13,4,PV_ALL,train
2007-11-14,1,PV_ALL,train
2007-11-15,6,PV_ALL,train
2007-11-16,6,PV_ALL,train
2007-11-17,4,PV_ALL,train
2007-11-18,1,PV_ALL,train
2007-11-19,2,PV_ALL,train
2007-11-20,0,PV_ALL,train
2007-11-21,6,PV_ALL,train
2007-11-22,6,PV_ALL,train
2007-11-23,5,PV_ALL,train
2007-11-24,6,PV_ALL,train
2007-11-25,6,PV_ALL,train
2007-11-26,6,PV_ALL,train
2007-11-27,5,PV_ALL,train
2007-11-28,5,PV_ALL,train
2007-11-29,5,PV_ALL,train
2007-11-30,6,PV_ALL,train
2007-12-01,1,PV_ALL,train
2007-12-02,6,PV_ALL,train
2007-12-03,4,PV_ALL,train
2007-12-04,1,PV_ALL,train
2007-12-05,4,PV_ALL,train
