group,split,cluster,slot,value
WEEKEND,train,0,0,0.07443302781464274
WEEKEND,train,0,1,0.06678613230848629
WEEKEND,train,0,2,0.0435116447319914
WEEKEND,train,0,3,0.03917539906362894
WEEKEND,train,0,4,0.034219360576568554
WEEKEND,train,0,5,0.03732610088107346
WEEKEND,train,0,6,0.03400594678537192
WEEKEND,train,0,7,0.040040286533215314
WEEKEND,train,0,8,0.03841361839194864
WEEKEND,train,0,9,0.03968315684214403
WEEKEND,train,0,10,0.05068275132713996
WEEKEND,train,0,11,0.04457324153948237
WEEKEND,train,0,12,0.03932746719014963
WEEKEND,train,0,13,0.034552009603332545
WEEKEND,train,0,14,0.04398973770552233
WEEKEND,train,0,15,0.05135726563076012
WEEKEND,train,0,16,0.0905240244599277
WEEKEND,train,0,17,0.13554367811324927
WEEKEND,train,0,18,0.1520833909348964
WEEKEND,train,0,19,0.13673228636732285
WEEKEND,train,0,20,0.13450829001695788
WEEKEND,train,0,21,0.17173447618674578
WEEKEND,train,0,22,0.16000446988129466
WEEKEND,train,0,23,0.1500448716176362
WEEKEND,train,0,24,0.1255005575831305
WEEKEND,train,0,25,0.14671607728747324
WEEKEND,train,0,26,0.2137487442859249
WEEKEND,train,0,27,0.2156830047740175
WEEKEND,train,0,28,0.2230845176214702
WEEKEND,train,0,29,0.21283172740175474
WEEKEND,train,0,30,0.1967326665376391
WEEKEND,train,0,31,0.18716303085600527
WEEKEND,train,0,32,0.17052251529897514
WEEKEND,train,0,33,0.18415334918528345
WEEKEND,train,0,34,0.2283210757207107
WEEKEND,train,0,35,0.250135651681044
WEEKEND,train,0,36,0.2686349696785371
WEEKEND,train,0,37,0.3334701370456388
WEEKEND,train,0,38,0.36422793168915435
WEEKEND,train,0,39,0.4062364636326771
WEEKEND,train,0,40,0.3615131700213816
WEEKEND,train,0,41,0.3806236406031114
WEEKEND,train,0,42,0.31102424795399247
WEEKEND,train,0,43,0.2759423039703605
WEEKEND,train,0,44,0.22900768635257682
WEEKEND,train,0,45,0.1799847240654722
WEEKEND,train,0,46,0.14781021897810215
WEEKEND,train,0,47,0.12823663182924125
WEEKEND,train,1,0,0.09435889008481073
WEEKEND,train,1,1,0.08551855278085399
WEEKEND,train,1,2,0.0756221807897797
WEEKEND,train,1,3,0.06463673144923758
WEEKEND,train,1,4,0.04770134380906453
WEEKEND,train,1,5,0.0417034015989896
WEEKEND,train,1,6,0.043680122947279756
WEEKEND,train,1,7,0.04139875485331793
WEEKEND,train,1,8,0.04045162085986951
WEEKEND,train,1,9,0.036003281962987986
WEEKEND,train,1,10,0.03163443322315137
WEEKEND,train,1,11,0.029243379626447956
WEEKEND,train,1,12,0.028805564717040093
WEEKEND,train,1,13,0.02795447375086791
WEEKEND,train,1,14,0.03838261770011964
WEEKEND,train,1,15,0.05169932845457283
WEEKEND,train,1,16,0.0496629792199691
WEEKEND,train,1,17,0.061936859149849234
WEEKEND,train,1,18,0.06398324807284919
WEEKEND,train,1,19,0.06966199156342272
WEEKEND,train,1,20,0.05932192226222914
WEEKEND,train,1,21,0.060200151486047494
WEEKEND,train,1,22,0.07118763692937949
WEEKEND,train,1,23,0.06297888609522281
WEEKEND,train,1,24,0.05526849488981613
WEEKEND,train,1,25,0.05028973654684097
WEEKEND,train,1,26,0.051177651928239754
WEEKEND,train,1,27,0.05603275370005054
WEEKEND,train,1,28,0.04855323865443619
