group,split,cluster,slot,value
PV_ALL,train,0,0,0.0
PV_ALL,train,0,1,0.0
PV_ALL,train,0,2,0.0
PV_ALL,train,0,3,0.0
PV_ALL,train,0,4,0.0
PV_ALL,train,0,5,0.0
PV_ALL,train,0,6,0.0
PV_ALL,train,0,7,0.0
PV_ALL,train,0,8,0.0
PV_ALL,train,0,9,0.0
PV_ALL,train,0,10,0.0
PV_ALL,train,0,11,2.5861622489068243e-06
PV_ALL,train,0,12,0.0009547002845348015
PV_ALL,train,0,13,0.013591259249363547
PV_ALL,train,0,14,0.053186394832503404
PV_ALL,train,0,15,0.1275053181097215
PV_ALL,train,0,16,0.23157004021599326
PV_ALL,train,0,17,0.3355203980043871
PV_ALL,train,0,18,0.4434258367393631
PV_ALL,train,0,19,0.5493007141401283
PV_ALL,train,0,20,0.634747543808349
PV_ALL,train,0,21,0.6735795854381914
PV_ALL,train,0,22,0.687176177156921
PV_ALL,train,0,23,0.7090476727193726
PV_ALL,train,0,24,0.6853825117004518
PV_ALL,train,0,25,0.710325701323364
PV_ALL,train,0,26,0.6328365198479363
PV_ALL,train,0,27,0.6264673206608589
PV_ALL,train,0,28,0.5776903245633841
PV_ALL,train,0,29,0.5450601810919341
PV_ALL,train,0,30,0.5371212494785956
PV_ALL,train,0,31,0.5084884895918157
PV_ALL,train,0,32,0.41994546757486145
PV_ALL,train,0,33,0.3582943207232631
PV_ALL,train,0,34,0.2791008700285586
PV_ALL,train,0,35,0.19483066109404068
PV_ALL,train,0,36,0.1319077252175006
PV_ALL,train,0,37,0.09188053147057561
PV_ALL,train,0,38,0.04672608513769437
PV_ALL,train,0,39,0.012757480920655243
PV_ALL,train,0,40,0.0008452698841223731
PV_ALL,train,0,41,3.138312789576839e-06
PV_ALL,train,0,42,0.0
PV_ALL,train,0,43,0.0
PV_ALL,train,0,44,0.0
PV_ALL,train,0,45,0.0
PV_ALL,train,0,46,0.0
PV_ALL,train,0,47,0.0
PV_ALL,train,1,0,0.0
PV_ALL,train,1,1,0.0
PV_ALL,train,1,2,0.0
PV_ALL,train,1,3,0.0
PV_ALL,train,1,4,0.0
PV_ALL,train,1,5,0.0
PV_ALL,train,1,6,0.0
PV_ALL,train,1,7,0.0
PV_ALL,train,1,8,0.0
PV_ALL,train,1,9,0.0
PV_ALL,train,1,10,0.0
PV_ALL,train,1,11,2.33860024996883e-06
PV_ALL,train,1,12,0.0004111086731158708
PV_ALL,train,1,13,0.007137825179686066
PV_ALL,train,1,14,0.039587327050889465
PV_ALL,train,1,15,0.10538937041042007
PV_ALL,train,1,16,0.18627550867176967
PV_ALL,train,1,17,0.27193702121858765
PV_ALL,train,1,18,0.35266613253333445
PV_ALL,train,1,19,0.4296625224983636
PV_ALL,train,1,20,0.4921338468823193
PV_ALL,train,1,21,0.5332985166190376
PV_ALL,train,1,22,0.5640480704096695
PV_ALL,train,1,23,0.5963800450092623
PV_ALL,train,1,24,0.6010543370777784
PV_ALL,train,1,25,0.5962312200510489
PV_ALL,train,1,26,0.579504849910062
PV_ALL,train,1,27,0.5457957803003021
PV_ALL,train,1,28,0.5022477195862132
PV_ALL,train,1,29,0.4448262185804112
PV_ALL,train,1,30,0.37398957650989206
PV_ALL,train,1,31,0.2990485785099236
PV_ALL,train,1,32,0.2211243196870552
PV_ALL,train,1,33,0.14508870991473596
PV_ALL,train,1,34,0.07600325584996889
PV_ALL,train,1,35,0.03694316725079967
PV_ALL,train,1,36,0.018965138662299395
PV_ALL,train,1,37,0.010878109816967333
PV_ALL,train,1,38,0.005405086542436621
PV_ALL,train,1,39,0.0016944888028310148
PV_ALL,train,1,40,0.00011201171834442657
PV_ALL,train,1,41,4.2730559294707816e-07
PV_ALL,train,1,42,0.0
PV_ALL,train,1,43,0.0
PV_ALL,train,1,44,0.0
PV_ALL,train,1,45,0.0
PV_ALL,train,1,46,0.0
PV_ALL,train,1,47,0.0
PV_ALL,train,2,0,0.0
PV_ALL,train,2,1,0.0
PV_ALL,train,2,2,0.0
PV_ALL,train,2,3,0.0
PV_ALL,train,2,4,0.0
PV_ALL,train,2,5,0.0
PV_ALL,train,2,6,0.0
PV_ALL,train,2,7,0.0
PV_ALL,train,2,8,0.0
PV_ALL,train,2,9,0.0
PV_ALL,train,2,10,0.0
PV_ALL,train,2,11,0.0
PV_ALL,train,2,12,0.00016728593470305688
PV_ALL,train,2,13,0.003918046002525895
PV_ALL,train,2,14,0.01975142782635739
PV_ALL,train,2,15,0.040920488636274864
PV_ALL,train,2,16,0.07778703231823111
PV_ALL,train,2,17,0.10898127712287249
PV_ALL,train,2,18,0.1211802509011652
PV_ALL,train,2,19,0.12501570347090654
PV_ALL,train,2,20,0.1237188881454649
PV_ALL,train,2,21,0.1509923353423828
PV_ALL,train,2,22,0.1658294413529854
PV_ALL,train,2,23,0.16626115810633188
PV_ALL,train,2,24,0.1701402775932471
PV_ALL,train,2,25,0.17668772825479848
PV_ALL,train,2,26,0.1788526175213812
PV_ALL,train,2,27,0.14385826174004288
PV_ALL,train,2,28,0.11986434825521104
PV_ALL,train,2,29,0.12012378914047725
PV_ALL,train,2,30,0.121242648178132
PV_ALL,train,2,31,0.11494191939917352
PV_ALL,train,2,32,0.08566231156214303
PV_ALL,train,2,33,0.05639671671850774
PV_ALL,train,2,34,0.03566347470912692
PV_ALL,train,2,35,0.02034046949192815
PV_ALL,train,2,36,0.010138602539355272
PV_ALL,train,2,37,0.004469093183079032
PV_ALL,train,2,38,0.0026831085066772995
PV_ALL,train,2,39,0.0001373001491863775
PV_ALL,train,2,40,6.3026197274189185e-06
PV_ALL,train,2,41,0.0
PV_ALL,train,2,42,0.0
PV_ALL,train,2,43,0.0
PV_ALL,train,2,44,0.0
PV_ALL,train,2,45,0.0
PV_ALL,train,2,46,0.0
PV_ALL,train,2,47,0.0
PV_ALL,train,3,0,0.0
PV_ALL,train,3,1,0.0
PV_ALL,train,3,2,0.0
PV_ALL,train,3,3,0.0
PV_ALL,train,3,4,0.0
PV_ALL,train,3,5,0.0
PV_ALL,train,3,6,0.0
PV_ALL,train,3,7,0.0
PV_ALL,train,3,8,0.0
PV_ALL,train,3,9,0.0
PV_ALL,train,3,10,0.0
PV_ALL,train,3,11,2.7018688239058854e-05
PV_ALL,train,3,12,0.0019604296233086695
PV_ALL,train,3,13,0.0214008389449013
PV_ALL,train,3,14,0.0786795234568538
PV_ALL,train,3,15,0.16782531953203883
PV_ALL,train,3,16,0.27467246466439377
PV_ALL,train,3,17,0.38242476497230976
PV_ALL,train,3,18,0.48943543535448814
PV_ALL,train,3,19,0.5852687401136867
PV_ALL,train,3,20,0.6626692899326296
PV_ALL,train,3,21,0.720994899292551
PV_ALL,train,3,22,0.7661428234417277
PV_ALL,train,3,23,0.792094118666794
PV_ALL,train,3,24,0.8060432171380552
PV_ALL,train,3,25,0.7970823498534971
PV_ALL,train,3,26,0.7795994026983768
PV_ALL,train,3,27,0.7484283116624328
PV_ALL,train,3,28,0.7179758902399161
PV_ALL,train,3,29,0.664107807662578
PV_ALL,train,3,30,0.6051238937135919
PV_ALL,train,3,31,0.5146935979790881
PV_ALL,train,3,32,0.44367076086870894
PV_ALL,train,3,33,0.3499959464381033
PV_ALL,train,3,34,0.25227624454934167
PV_ALL,train,3,35,0.16989961506870352
PV_ALL,train,3,36,0.10170009199180957
PV_ALL,train,3,37,0.05563885702237517
PV_ALL,train,3,38,0.026309690874046977
PV_ALL,train,3,39,0.007933547582204608
PV_ALL,train,3,40,0.0006305301027973229
PV_ALL,train,3,41,2.3958823352528937e-06
PV_ALL,train,3,42,0.0
PV_ALL,train,3,43,0.0
PV_ALL,train,3,44,0.0
PV_ALL,train,3,45,0.0
PV_ALL,train,3,46,0.0
PV_ALL,train,3,47,0.0
