group,split,cluster,slot,value
PV_ALL,train,0,0,0.0
PV_ALL,train,0,1,0.0
PV_ALL,train,0,2,0.0
PV_ALL,train,0,3,0.0
PV_ALL,train,0,4,0.0
PV_ALL,train,0,5,0.0
PV_ALL,train,0,6,0.0
PV_ALL,train,0,7,0.0
PV_ALL,train,0,8,0.0
PV_ALL,train,0,9,0.0
PV_ALL,train,0,10,0.0
PV_ALL,train,0,11,5.08478355848331e-06
PV_ALL,train,0,12,0.00048243316355577184
PV_ALL,train,0,13,0.0065579905064021855
PV_ALL,train,0,14,0.03214140637512539
PV_ALL,train,0,15,0.07957372675568959
PV_ALL,train,0,16,0.12572657924442887
PV_ALL,train,0,17,0.18527791428279788
PV_ALL,train,0,18,0.23660376611677833
PV_ALL,train,0,19,0.2934072540951227
PV_ALL,train,0,20,0.323374097717839
PV_ALL,train,0,21,0.35499737124515673
PV_ALL,train,0,22,0.3938981164387374
PV_ALL,train,0,23,0.43907458378585346
PV_ALL,train,0,24,0.4425414796541165
PV_ALL,train,0,25,0.4369188158643496
PV_ALL,train,0,26,0.44325792297667344
PV_ALL,train,0,27,0.41293415597064287
PV_ALL,train,0,28,0.371131917427552
PV_ALL,train,0,29,0.3249657448638143
PV_ALL,train,0,30,0.2747560190295509
PV_ALL,train,0,31,0.21899553908465588
PV_ALL,train,0,32,0.16082968897790914
PV_ALL,train,0,33,0.11707218559358985
PV_ALL,train,0,34,0.07868114058713649
PV_ALL,train,0,35,0.049076141439375
PV_ALL,train,0,36,0.028734212891412852
PV_ALL,train,0,37,0.018379740373715918
PV_ALL,train,0,38,0.008751909566752729
PV_ALL,train,0,39,0.0020750732990265346
PV_ALL,train,0,40,0.00012721777095007954
PV_ALL,train,0,41,0.0
PV_ALL,train,0,42,0.0
PV_ALL,train,0,43,0.0
PV_ALL,train,0,44,0.0
PV_ALL,train,0,45,0.0
PV_ALL,train,0,46,0.0
PV_ALL,train,0,47,0.0
PV_ALL,train,1,0,0.0
PV_ALL,train,1,1,0.0
PV_ALL,train,1,2,0.0
PV_ALL,train,1,3,0.0
PV_ALL,train,1,4,0.0
PV_ALL,train,1,5,0.0
PV_ALL,train,1,6,0.0
PV_ALL,train,1,7,0.0
PV_ALL,train,1,8,0.0
PV_ALL,train,1,9,0.0
PV_ALL,train,1,10,0.0
PV_ALL,train,1,11,2.1896668148752717e-05
PV_ALL,train,1,12,0.001802893241158556
PV_ALL,train,1,13,0.018431243071975464
PV_ALL,train,1,14,0.07012743995292392
PV_ALL,train,1,15,0.15902485658991217
PV_ALL,train,1,16,0.2610892973328782
PV_ALL,train,1,17,0.3602213760876872
PV_ALL,train,1,18,0.4612225277587359
PV_ALL,train,1,19,0.5512452445595102
PV_ALL,train,1,20,0.6325437657775567
PV_ALL,train,1,21,0.6902929268845026
PV_ALL,train,1,22,0.7268900794332661
PV_ALL,train,1,23,0.7448736071022691
PV_ALL,train,1,24,0.7439559567306284
PV_ALL,train,1,25,0.7335393181927358
PV_ALL,train,1,26,0.6935645183295155
PV_ALL,train,1,27,0.6592312559700182
PV_ALL,train,1,28,0.5941584584975926
PV_ALL,train,1,29,0.5130647748672583
PV_ALL,train,1,30,0.43589073634232156
PV_ALL,train,1,31,0.3474826640620669
PV_ALL,train,1,32,0.2506797059636068
PV_ALL,train,1,33,0.16978221853763947
PV_ALL,train,1,34,0.09957076972327637
PV_ALL,train,1,35,0.04511460510881592
PV_ALL,train,1,36,0.019963448549323443
PV_ALL,train,1,37,0.010364379563091476
PV_ALL,train,1,38,0.0049197840456072645
PV_ALL,train,1,39,0.0012093860986880256
PV_ALL,train,1,40,5.1649552739079245e-05
PV_ALL,train,1,41,2.0918671960731994e-10
PV_ALL,train,1,42,0.0
PV_ALL,train,1,43,0.0
PV_ALL,train,1,44,0.0
PV_ALL,train,1,45,0.0
PV_ALL,train,1,46,0.0
PV_ALL,train,1,47,0.0
PV_ALL,train,2,0,0.0
PV_ALL,train,2,1,0.0
PV_ALL,train,2,2,0.0
PV_ALL,train,2,3,0.0
PV_ALL,train,2,4,0.0
PV_ALL,train,2,5,0.0
PV_ALL,train,2,6,0.0
PV_ALL,train,2,7,0.0
PV_ALL,train,2,8,0.0
PV_ALL,train,2,9,0.0
PV_ALL,train,2,10,0.0
PV_ALL,train,2,11,2.347102650891875e-06
PV_ALL,train,2,12,0.00045541283825677544
PV_ALL,train,2,13,0.007437918534714138
PV_ALL,train,2,14,0.04061425068522771
PV_ALL,train,2,15,0.10746766103528564
PV_ALL,train,2,16,0.19844911035636242
PV_ALL,train,2,17,0.29153346216288534
PV_ALL,train,2,18,0.3790394255859802
PV_ALL,train,2,19,0.46159142909773443
PV_ALL,train,2,20,0.5319646380153955
PV_ALL,train,2,21,0.5666930958347607
PV_ALL,train,2,22,0.5960472407736648
PV_ALL,train,2,23,0.62397104332859
PV_ALL,train,2,24,0.6251982422036931
PV_ALL,train,2,25,0.6251454568440035
PV_ALL,train,2,26,0.5844207353423291
PV_ALL,train,2,27,0.5379892664778071
PV_ALL,train,2,28,0.4929476922528133
PV_ALL,train,2,29,0.4322263730951909
PV_ALL,train,2,30,0.3568607088611406
PV_ALL,train,2,31,0.28836720525780274
PV_ALL,train,2,32,0.21294857356425712
PV_ALL,train,2,33,0.12595747282661493
PV_ALL,train,2,34,0.06211721296816625
PV_ALL,train,2,35,0.022534907027785513
PV_ALL,train,2,36,0.008488933735537958
PV_ALL,train,2,37,0.00535131346189031
PV_ALL,train,2,38,0.0030058180790555637
PV_ALL,train,2,39,0.0009470539019385546
PV_ALL,train,2,40,7.069841071515953e-05
PV_ALL,train,2,41,2.8795859370940976e-07
PV_ALL,train,2,42,0.0
PV_ALL,train,2,43,0.0
PV_ALL,train,2,44,0.0
PV_ALL,train,2,45,0.0
PV_ALL,train,2,46,0.0
PV_ALL,train,2,47,0.0
PV_ALL,train,3,0,0.0
PV_ALL,train,3,1,0.0
PV_ALL,train,3,2,0.0
PV_ALL,train,3,3,0.0
PV_ALL,train,3,4,0.0
PV_ALL,train,3,5,0.0
PV_ALL,train,3,6,0.0
PV_ALL,train,3,7,0.0
PV_ALL,train,3,8,0.0
PV_ALL,train,3,9,0.0
PV_ALL,train,3,10,0.0
PV_ALL,train,3,11,0.0
PV_ALL,train,3,12,0.00018314089874884858
PV_ALL,train,3,13,0.004037782781322936
PV_ALL,train,3,14,0.019641522151624218
PV_ALL,train,3,15,0.0394654097708264
PV_ALL,train,3,16,0.07477954907380593
PV_ALL,train,3,17,0.1011231672828412
PV_ALL,train,3,18,0.10386367528420605
PV_ALL,train,3,19,0.10243544074556664
PV_ALL,train,3,20,0.10406317844507976
PV_ALL,train,3,21,0.12837434408611498
PV_ALL,train,3,22,0.13828959874129287
PV_ALL,train,3,23,0.13464096365859057
PV_ALL,train,3,24,0.14000153142215738
PV_ALL,train,3,25,0.1485659955818668
PV_ALL,train,3,26,0.1522395068814958
PV_ALL,train,3,27,0.11839691862056011
PV_ALL,train,3,28,0.1049656054315629
PV_ALL,train,3,29,0.1077392314343799
PV_ALL,train,3,30,0.1098340797329201
PV_ALL,train,3,31,0.10867897405555571
PV_ALL,train,3,32,0.08040445011409343
PV_ALL,train,3,33,0.05502808520663908
PV_ALL,train,3,34,0.03657126518880629
PV_ALL,train,3,35,0.020975947393709633
PV_ALL,train,3,36,0.010369768586308904
PV_ALL,train,3,37,0.004214863928001363
PV_ALL,train,3,38,0.0026024120250567337
PV_ALL,train,3,39,0.00014314688708075784
PV_ALL,train,3,40,7.287404059828125e-06
PV_ALL,train,3,41,0.0
PV_ALL,train,3,42,0.0
PV_ALL,train,3,43,0.0
PV_ALL,train,3,44,0.0
PV_ALL,train,3,45,0.0
PV_ALL,train,3,46,0.0
PV_ALL,train,3,47,0.0
PV_ALL,train,4,0,0.0
PV_ALL,train,4,1,0.0
PV_ALL,train,4,2,0.0
PV_ALL,train,4,3,0.0
PV_ALL,train,4,4,0.0
PV_ALL,train,4,5,0.0
PV_ALL,train,4,6,0.0
PV_ALL,train,4,7,0.0
PV_ALL,train,4,8,0.0
PV_ALL,train,4,9,0.0
PV_ALL,train,4,10,0.0
PV_ALL,train,4,11,0.0
PV_ALL,train,4,12,0.00010669650526723327
PV_ALL,train,4,13,0.00515543296081645
PV_ALL,train,4,14,0.03018901670335375
PV_ALL,train,4,15,0.08103674327691203
PV_ALL,train,4,16,0.15107430890015086
PV_ALL,train,4,17,0.22749529229023002
PV_ALL,train,4,18,0.30510717201139254
PV_ALL,train,4,19,0.3921200514687603
PV_ALL,train,4,20,0.4532730026391974
PV_ALL,train,4,21,0.49889799498649773
PV_ALL,train,4,22,0.5227414711583162
PV_ALL,train,4,23,0.5739382440199082
PV_ALL,train,4,24,0.6058896162012293
PV_ALL,train,4,25,0.6234880139791116
PV_ALL,train,4,26,0.6352610853370084
PV_ALL,train,4,27,0.6741950401786256
PV_ALL,train,4,28,0.6721515779418034
PV_ALL,train,4,29,0.6630007431093857
PV_ALL,train,4,30,0.6731768909517714
PV_ALL,train,4,31,0.6045258299916701
PV_ALL,train,4,32,0.5277318484700804
PV_ALL,train,4,33,0.46468362718768796
PV_ALL,train,4,34,0.3548636486925654
PV_ALL,train,4,35,0.2949838347284416
PV_ALL,train,4,36,0.20509206718576073
PV_ALL,train,4,37,0.13436372330211238
PV_ALL,train,4,38,0.06181789846277993
PV_ALL,train,4,39,0.01929356524001789
PV_ALL,train,4,40,0.00147808581160141
PV_ALL,train,4,41,6.274308538440526e-06
PV_ALL,train,4,42,0.0
PV_ALL,train,4,43,0.0
PV_ALL,train,4,44,0.0
PV_ALL,train,4,45,0.0
PV_ALL,train,4,46,0.0
PV_ALL,train,4,47,0.0
PV_ALL,train,5,0,0.0
PV_ALL,train,5,1,0.0
PV_ALL,train,5,2,0.0
PV_ALL,train,5,3,0.0
PV_ALL,train,5,4,0.0
PV_ALL,train,5,5,0.0
PV_ALL,train,5,6,0.0
PV_ALL,train,5,7,0.0
PV_ALL,train,5,8,0.0
PV_ALL,train,5,9,0.0
PV_ALL,train,5,10,0.0
PV_ALL,train,5,11,2.7438751384714197e-05
PV_ALL,train,5,12,0.002882556303180315
PV_ALL,train,5,13,0.03119318269725968
PV_ALL,train,5,14,0.1069513603339518
PV_ALL,train,5,15,0.2134461500912728
PV_ALL,train,5,16,0.3354414122360516
PV_ALL,train,5,17,0.4558529788182411
PV_ALL,train,5,18,0.5695746408588676
PV_ALL,train,5,19,0.6634790425167918
PV_ALL,train,5,20,0.7333225173031142
PV_ALL,train,5,21,0.7858729901277712
PV_ALL,train,5,22,0.8129518542094939
PV_ALL,train,5,23,0.8294526002360171
PV_ALL,train,5,24,0.8347368453989297
PV_ALL,train,5,25,0.8266519862880783
PV_ALL,train,5,26,0.791220718583937
PV_ALL,train,5,27,0.7623853809491389
PV_ALL,train,5,28,0.722318030369638
PV_ALL,train,5,29,0.6716066644440065
PV_ALL,train,5,30,0.5941582914738621
PV_ALL,train,5,31,0.5039767360671347
PV_ALL,train,5,32,0.4040857401419241
PV_ALL,train,5,33,0.29997674966817234
PV_ALL,train,5,34,0.19011830119487438
PV_ALL,train,5,35,0.09865086175553676
PV_ALL,train,5,36,0.040756469131791116
PV_ALL,train,5,37,0.01416107080956257
PV_ALL,train,5,38,0.005071634270443162
PV_ALL,train,5,39,0.0009686622262068469
PV_ALL,train,5,40,1.2471661023440308e-05
PV_ALL,train,5,41,0.0
PV_ALL,train,5,42,0.0
PV_ALL,train,5,43,0.0
PV_ALL,train,5,44,0.0
PV_ALL,train,5,45,0.0
PV_ALL,train,5,46,0.0
PV_ALL,train,5,47,0.0
PV_ALL,train,6,0,0.0
PV_ALL,train,6,1,0.0
PV_ALL,train,6,2,0.0
PV_ALL,train,6,3,0.0
PV_ALL,train,6,4,0.0
PV_ALL,train,6,5,0.0
PV_ALL,train,6,6,0.0
PV_ALL,train,6,7,0.0
PV_ALL,train,6,8,0.0
PV_ALL,train,6,9,0.0
PV_ALL,train,6,10,0.0
PV_ALL,train,6,11,1.6875856406391295e-05
PV_ALL,train,6,12,0.00023655160281864756
PV_ALL,train,6,13,0.0083220868842867
PV_ALL,train,6,14,0.04593790407677423
PV_ALL,train,6,15,0.12433002457691411
PV_ALL,train,6,16,0.23296412175731943
PV_ALL,train,6,17,0.34981131545823235
PV_ALL,train,6,18,0.4747252571135376
PV_ALL,train,6,19,0.5886020457485377
PV_ALL,train,6,20,0.6847411518385972
PV_ALL,train,6,21,0.7590884793574673
PV_ALL,train,6,22,0.8245441420508591
PV_ALL,train,6,23,0.8575578879476111
PV_ALL,train,6,24,0.8676810672640533
PV_ALL,train,6,25,0.8581814310189239
PV_ALL,train,6,26,0.8720118703073689
PV_ALL,train,6,27,0.8296237334001257
PV_ALL,train,6,28,0.8275264035726664
PV_ALL,train,6,29,0.7973741760707768
PV_ALL,train,6,30,0.7707012353347966
PV_ALL,train,6,31,0.6893928415757686
PV_ALL,train,6,32,0.6726041287602422
PV_ALL,train,6,33,0.581587582286579
PV_ALL,train,6,34,0.458276127054932
PV_ALL,train,6,35,0.3439731631386532
PV_ALL,train,6,36,0.2345646850321177
PV_ALL,train,6,37,0.13694908548748422
PV_ALL,train,6,38,0.07113464421358388
PV_ALL,train,6,39,0.021788268779487825
PV_ALL,train,6,40,0.0017727370942576938
PV_ALL,train,6,41,6.983978430332218e-06
PV_ALL,train,6,42,0.0
PV_ALL,train,6,43,0.0
PV_ALL,train,6,44,0.0
PV_ALL,train,6,45,0.0
PV_ALL,train,6,46,0.0
PV_ALL,train,6,47,0.0
