date,cluster,group,split
2006-12-17,2,LOAD_ALL,train
2006-12-18,4,LOAD_ALL,train
2006-12-19,1,LOAD_ALL,train
2006-12-20,1,LOAD_ALL,train
2006-12-21,4,LOAD_ALL,train
2006-12-22,5,LOAD_ALL,train
2006-12-23,2,LOAD_ALL,train
2006-12-24,2,LOAD_ALL,train
2006-12-25,5,LOAD_ALL,train
2006-12-26,2,LOAD_ALL,train
2006-12-27,3,LOAD_ALL,train
2006-12-28,5,LOAD_ALL,train
2006-12-29,2,LOAD_ALL,train
2006-12-30,5,LOAD_ALL,train
2006-12-31,2,LOAD_ALL,train
2007-01-01,2,LOAD_ALL,train
2007-01-02,3,LOAD_ALL,train
2007-01-03,0,LOAD_ALL,train
2007-01-04,2,LOAD_ALL,train
2007-01-05,2,LOAD_ALL,train
2007-01-06,4,LOAD_ALL,train
2007-01-07,5,LOAD_ALL,train
2007-01-08,5,LOAD_ALL,train
2007-01-09,1,LOAD_ALL,train
2007-01-10,1,LOAD_ALL,train
2007-01-11,5,LOAD_ALL,train
2007-01-12,3,LOAD_ALL,train
2007-01-13,5,LOAD_ALL,train
2007-01-14,2,LOAD_ALL,train
2007-01-15,1,LOAD_ALL,train
2007-01-16,4,LOAD_ALL,train
2007-01-17,5,LOAD_ALL,train
2007-01-18,1,LOAD_ALL,train
2007-01-19,3,LOAD_ALL,train
2007-01-20,5,LOAD_ALL,train
2007-01-21,5,LOAD_ALL,train
2007-01-22,1,LOAD_ALL,train
2007-01-23,1,LOAD_ALL,train
2007-01-24,2,LOAD_ALL,train
2007-01-25,1,LOAD_ALL,train
2007-01-26,4,LOAD_ALL,train
2007-01-27,4,LOAD_ALL,train
2007-01-28,2,LOAD_ALL,train
2007-01-29,4,LOAD_ALL,train
2007-01-30,1,LOAD_ALL,train
2007-01-31,4,LOAD_ALL,train
2007-02-01,1,LOAD_ALL,train
2007-02-02,3,LOAD_ALL,train
2007-02-03,2,LOAD_ALL,train
2007-02-04,2,LOAD_ALL,train
2007-02-05,1,LOAD_ALL,train
2007-02-06,3,LOAD_ALL,train
2007-02-07,4,LOAD_ALL,train
2007-02-08,1,LOAD_ALL,train
2007-02-09,3,LOAD_ALL,train
2007-02-10,5,LOAD_ALL,train
2007-02-11,2,LOAD_ALL,train
2007-02-12,1,LOAD_ALL,train
2007-02-13,3,LOAD_ALL,train
2007-02-14,4,LOAD_ALL,train
2007-02-15,1,LOAD_ALL,train
2007-02-16,1,LOAD_ALL,train
2007-02-17,1,LOAD_ALL,train
2007-02-18,2,LOAD_ALL,train
2007-02-19,1,LOAD_ALL,train
2007-02-20,2,LOAD_ALL,train
2007-02-21,1,LOAD_ALL,train
2007-02-22,2,LOAD_ALL,train
2007-02-23,0,LOAD_ALL,train
2007-02-24,0,LOAD_ALL,train
2007-02-25,0,LOAD_ALL,train
2007-02-26,0,LOAD_ALL,train
2007-02-27,0,LOAD_ALL,train
2007-02-28,0,LOAD_ALL,train
2007-03-01,0,LOAD_ALL,train
2007-03-02,0,LOAD_ALL,train
2007-03-03,0,LOAD_ALL,train
2007-03-04,5,LOAD_ALL,train
2007-03-05,5,LOAD_ALL,train
2007-03-06,3,LOAD_ALL,train
2007-03-07,1,LOAD_ALL,train
2007-03-08,1,LOAD_ALL,train
2007-03-09,0,LOAD_ALL,train
2007-03-10,5,LOAD_ALL,train
2007-03-11,2,LOAD_ALL,train
2007-03-12,1,LOAD_ALL,train
2007-03-13,3,LOAD_ALL,train
2007-03-14,1,LOAD_ALL,train
2007-03-15,1,LOAD_ALL,train
2007-03-16,1,LOAD_ALL,train
2007-03-17,1,LOAD_ALL,train
2007-03-18,1,LOAD_ALL,train
2007-03-19,1,LOAD_ALL,train
2007-03-20,1,LOAD_ALL,train
2007-03-21,4,LOAD_ALL,train
2007-03-22,3,LOAD_ALL,train
2007-03-23,3,LOAD_ALL,train
2007-03-24,5,LOAD_ALL,train
2007-03-25,2,LOAD_ALL,train
2007-03-26,3,LOAD_ALL,train
2007-03-27,3,LOAD_ALL,train
2007-03-28,4,LOAD_ALL,train
2007-03-29,1,LOAD_ALL,train
2007-03-30,3,LOAD_ALL,train
2007-03-31,2,LOAD_ALL,train
2007-04-01,5,LOAD_ALL,train
2007-04-02,1,LOAD_ALL,train
2007-04-03,1,LOAD_ALL,train
2007-04-04,4,LOAD_ALL,train
2007-04-05,1,LOAD_ALL,train
2007-04-06,3,LOAD_ALL,train
2007-04-07,3,LOAD_ALL,train
2007-04-08,0,LOAD_ALL,train
2007-04-09,3,LOAD_ALL,train
2007-04-10,0,LOAD_ALL,train
2007-04-11,0,LOAD_ALL,train
2007-04-12,0,LOAD_ALL,train
2007-04-13,0,LOAD_ALL,train
2007-04-14,0,LOAD_ALL,train
2007-04-15,0,LOAD_ALL,train
2007-04-16,3,LOAD_ALL,train
2007-04-17,3,LOAD_ALL,train
2007-04-18,3,LOAD_ALL,train
