date,cluster,group,split
2006-12-18,3,LOAD_WEEKDAY,train
2006-12-19,3,LOAD_WEEKDAY,train
2006-12-20,2,LOAD_WEEKDAY,train
2006-12-21,0,LOAD_WEEKDAY,train
2006-12-22,2,LOAD_WEEKDAY,train
2006-12-27,1,LOAD_WEEKDAY,train
2006-12-28,2,LOAD_WEEKDAY,train
2006-12-29,3,LOAD_WEEKDAY,train
2007-01-02,1,LOAD_WEEKDAY,train
2007-01-03,1,LOAD_WEEKDAY,train
2007-01-04,3,LOAD_WEEKDAY,train
2007-01-05,3,LOAD_WEEKDAY,train
2007-01-08,0,LOAD_WEEKDAY,train
2007-01-09,4,LOAD_WEEKDAY,train
2007-01-10,3,LOAD_WEEKDAY,train
2007-01-11,4,LOAD_WEEKDAY,train
2007-01-12,0,LOAD_WEEKDAY,train
2007-01-15,2,LOAD_WEEKDAY,train
2007-01-16,5,LOAD_WEEKDAY,train
2007-01-17,3,LOAD_WEEKDAY,train
2007-01-18,0,LOAD_WEEKDAY,train
2007-01-19,0,LOAD_WEEKDAY,train
2007-01-22,2,LOAD_WEEKDAY,train
2007-01-23,0,LOAD_WEEKDAY,train
2007-01-24,3,LOAD_WEEKDAY,train
2007-01-25,0,LOAD_WEEKDAY,train
2007-01-26,0,LOAD_WEEKDAY,train
2007-01-29,5,LOAD_WEEKDAY,train
2007-01-30,0,LOAD_WEEKDAY,train
2007-01-31,3,LOAD_WEEKDAY,train
2007-02-01,0,LOAD_WEEKDAY,train
2007-02-02,2,LOAD_WEEKDAY,train
2007-02-05,5,LOAD_WEEKDAY,train
2007-02-06,5,LOAD_WEEKDAY,train
2007-02-07,3,LOAD_WEEKDAY,train
2007-02-08,0,LOAD_WEEKDAY,train
2007-02-09,5,LOAD_WEEKDAY,train
2007-02-12,0,LOAD_WEEKDAY,train
2007-02-13,5,LOAD_WEEKDAY,train
2007-02-14,3,LOAD_WEEKDAY,train
2007-02-15,2,LOAD_WEEKDAY,train
