date,cluster,group,split
2006-12-17,1,LOAD_WEEKEND_HOLIDAY,train
2006-12-23,5,LOAD_WEEKEND_HOLIDAY,train
2006-12-24,1,LOAD_WEEKEND_HOLIDAY,train
2006-12-25,5,LOAD_WEEKEND_HOLIDAY,train
2006-12-26,1,LOAD_WEEKEND_HOLIDAY,train
2006-12-30,3,LOAD_WEEKEND_HOLIDAY,train
2006-12-31,5,LOAD_WEEKEND_HOLIDAY,train
2007-01-01,6,LOAD_WEEKEND_HOLIDAY,train
2007-01-06,3,LOAD_WEEKEND_HOLIDAY,train
2007-01-07,3,LOAD_WEEKEND_HOLIDAY,train
2007-01-13,5,LOAD_WEEKEND_HOLIDAY,train
2007-01-14,1,LOAD_WEEKEND_HOLIDAY,train
2007-01-20,3,LOAD_WEEKEND_HOLIDAY,train
2007-01-21,3,LOAD_WEEKEND_HOLIDAY,train
2007-01-27,3,LOAD_WEEKEND_HOLIDAY,train
2007-01-28,1,LOAD_WEEKEND_HOLIDAY,train
2007-02-03,1,LOAD_WEEKEND_HOLIDAY,train
2007-02-04,1,LOAD_WEEKEND_HOLIDAY,train
2007-02-10,5,LOAD_WEEKEND_HOLIDAY,train
2007-02-11,6,LOAD_WEEKEND_HOLIDAY,train
2007-02-17,4,LOAD_WEEKEND_HOLIDAY,train
2007-02-18,1,LOAD_WEEKEND_HOLIDAY,train
2007-02-24,2,LOAD_WEEKEND_HOLIDAY,train
2007-02-25,2,LOAD_WEEKEND_HOLIDAY,train
2007-03-03,2,LOAD_WEEKEND_HOLIDAY,train
2007-03-04,3,LOAD_WEEKEND_HOLIDAY,train
2007-03-10,5,LOAD_WEEKEND_HOLIDAY,train
2007-03-11,1,LOAD_WEEKEND_HOLIDAY,train
2007-03-17,3,LOAD_WEEKEND_HOLIDAY,train
2007-03-18,0,LOAD_WEEKEND_HOLIDAY,train
2007-03-24,5,LOAD_WEEKEND_HOLIDAY,train
2007-03-25,1,LOAD_WEEKEND_HOLIDAY,train
2007-03-31,3,LOAD_WEEKEND_HOLIDAY,train
2007-04-01,1,LOAD_WEEKEND_HOLIDAY,train
2007-04-07,4,LOAD_WEEKEND_HOLIDAY,train
2007-04-08,6,LOAD_WEEKEND_HOLIDAY,train
2007-04-14,2,LOAD_WEEKEND_HOLIDAY,train
2007-04-15,2,LOAD_WEEKEND_HOLIDAY,train
2007-04-21,0,LOAD_WEEKEND_HOLIDAY,train
2007-04-22,0,LOAD_WEEKEND_HOLIDAY,train
2007-04-28,2,LOAD_WEEKEND_HOLIDAY,train
2007-04-29,2,LOAD_WEEKEND_HOLIDAY,train
2007-05-01,0,LOAD_WEEKEND_HOLIDAY,train
2007-05-05,0,LOAD_WEEKEND_HOLIDAY,train
2007-05-06,4,LOAD_WEEKEND_HOLIDAY,train
2007-05-12,0,LOAD_WEEKEND_HOLIDAY,train
2007-05-13,0,LOAD_WEEKEND_HOLIDAY,train
2007-05-19,2,LOAD_WEEKEND_HOLIDAY,train
2007-05-20,4,LOAD_WEEKEND_HOLIDAY,train
2007-05-26,0,LOAD_WEEKEND_HOLIDAY,train
2007-05-27,3,LOAD_WEEKEND_HOLIDAY,train
2007-06-02,0,LOAD_WEEKEND_HOLIDAY,train
2007-06-03,4,LOAD_WEEKEND_HOLIDAY,train
2007-06-09,2,LOAD_WEEKEND_HOLIDAY,train
2007-06-10,2,LOAD_WEEKEND_HOLIDAY,train
2007-06-16,0,LOAD_WEEKEND_HOLIDAY,train
2007-06-17,3,LOAD_WEEKEND_HOLIDAY,train
2007-06-23,2,LOAD_WEEKEND_HOLIDAY,train
2007-06-24,2,LOAD_WEEKEND_HOLIDAY,train
2007-06-30,0,LOAD_WEEKEND_HOLIDAY,train
2007-07-01,2,LOAD_WEEKEND_HOLIDAY,train
2007-07-07,2,LOAD_WEEKEND_HOLIDAY,train
2007-07-08,2,LOAD_WEEKEND_HOLIDAY,train
2007-07-14,0,LOAD_WEEKEND_HOLIDAY,train
2007-07-15,2,LOAD_WEEKEND_HOLIDAY,train
2007-07-21,2,LOAD_WEEKEND_HOLIDAY,train
2007-07-22,6,LOAD_WEEKEND_HOLIDAY,train
2007-07-28,0,LOAD_WEEKEND_HOLIDAY,train
2007-07-29,2,LOAD_WEEKEND_HOLIDAY,train
2007-08-04,2,LOAD_WEEKEND_HOLIDAY,train
2007-08-05,2,LOAD_WEEKEND_HOLIDAY,train
2007-08-11,2,LOAD_WEEKEND_HOLIDAY,train
2007-08-12,4,LOAD_WEEKEND_HOLIDAY,train
2007-08-18,2,LOAD_WEEKEND_HOLIDAY,train
2007-08-19,0,LOAD_WEEKEND_HOLIDAY,train
2007-08-25,6,LOAD_WEEKEND_HOLIDAY,train
2007-08-26,0,LOAD_WEEKEND_HOLIDAY,train
2007-09-01,5,LOAD_WEEKEND_HOLIDAY,train
2007-09-02,6,LOAD_WEEKEND_HOLIDAY,train
2007-09-08,0,LOAD_WEEKEND_HOLIDAY,train
2007-09-09,0,LOAD_WEEKEND_HOLIDAY,train
2007-09-15,2,LOAD_WEEKEND_HOLIDAY,train
2007-09-16,4,LOAD_WEEKEND_HOLIDAY,train
2007-09-22,2,LOAD_WEEKEND_HOLIDAY,train
2007-09-23,0,LOAD_WEEKEND_HOLIDAY,train
2007-09-29,0,LOAD_WEEKEND_HOLIDAY,train
2007-09-30,0,LOAD_WEEKEND_HOLIDAY,train
2007-10-06,0,LOAD_WEEKEND_HOLIDAY,train
2007-10-07,3,LOAD_WEEKEND_HOLIDAY,train
2007-10-13,3,LOAD_WEEKEND_HOLIDAY,train
2007-10-14,0,LOAD_WEEKEND_HOLIDAY,train
2007-10-20,2,LOAD_WEEKEND_HOLIDAY,train
2007-10-21,3,LOAD_WEEKEND_HOLIDAY,train
2007-10-27,3,LOAD_WEEKEND_HOLIDAY,train
2007-10-28,2,LOAD_WEEKEND_HOLIDAY,train
2007-11-03,2,LOAD_WEEKEND_HOLIDAY,train
2007-11-04,3,LOAD_WEEKEND_HOLIDAY,train
2007-11-10,5,LOAD_WEEKEND_HOLIDAY,train
2007-11-11,6,LOAD_WEEKEND_HOLIDAY,train
2007-11-17,3,LOAD_WEEKEND_HOLIDAY,train
2007-11-18,6,LOAD_WEEKEND_HOLIDAY,train
2007-11-24,6,LOAD_WEEKEND_HOLIDAY,train
2007-11-25,0,LOAD_WEEKEND_HOLIDAY,train
2007-12-01,5,LOAD_WEEKEND_HOLIDAY,train
2007-12-02,1,LOAD_WEEKEND_HOLIDAY,train
2007-12-08,3,LOAD_WEEKEND_HOLIDAY,train
2007-12-09,3,LOAD_WEEKEND_HOLIDAY,train
2007-12-15,3,LOAD_WEEKEND_HOLIDAY,train
2007-12-16,3,LOAD_WEEKEND_HOLIDAY,train
2007-12-22,3,LOAD_WEEKEND_HOLIDAY,train
2007-12-23,3,LOAD_WEEKEND_HOLIDAY,train
2007-12-25,5,LOAD_WEEKEND_HOLIDAY,train
2007-12-26,1,LOAD_WEEKEND_HOLIDAY,train
2007-12-29,1,LOAD_WEEKEND_HOLIDAY,train
2007-12-30,3,LOAD_WEEKEND_HOLIDAY,train
2008-01-01,6,LOAD_WEEKEND_HOLIDAY,train
2008-01-05,0,LOAD_WEEKEND_HOLIDAY,train
2008-01-06,3,LOAD_WEEKEND_HOLIDAY,train
2008-01-12,5,LOAD_WEEKEND_HOLIDAY,train
2008-01-13,1,LOAD_WEEKEND_HOLIDAY,train
2008-01-19,0,LOAD_WEEKEND_HOLIDAY,train
2008-01-20,0,LOAD_WEEKEND_HOLIDAY,train
2008-01-26,5,LOAD_WEEKEND_HOLIDAY,train
2008-01-27,3,LOAD_WEEKEND_HOLIDAY,train
2008-02-02,5,LOAD_WEEKEND_HOLIDAY,train
2008-02-03,6,LOAD_WEEKEND_HOLIDAY,train
2008-02-09,3,LOAD_WEEKEND_HOLIDAY,train
2008-02-10,3,LOAD_WEEKEND_HOLIDAY,train
2008-02-16,0,LOAD_WEEKEND_HOLIDAY,train
2008-02-17,3,LOAD_WEEKEND_HOLIDAY,train
2008-02-23,0,LOAD_WEEKEND_HOLIDAY,train
2008-02-24,2,LOAD_WEEKEND_HOLIDAY,train
2008-03-01,2,LOAD_WEEKEND_HOLIDAY,train
2008-03-02,6,LOAD_WEEKEND_HOLIDAY,train
2008-03-08,5,LOAD_WEEKEND_HOLIDAY,train
2008-03-09,3,LOAD_WEEKEND_HOLIDAY,train
2008-03-15,0,LOAD_WEEKEND_HOLIDAY,train
2008-03-16,0,LOAD_WEEKEND_HOLIDAY,train
2008-03-22,0,LOAD_WEEKEND_HOLIDAY,train
2008-03-23,3,LOAD_WEEKEND_HOLIDAY,train
2008-03-29,5,LOAD_WEEKEND_HOLIDAY,train
2008-03-30,6,LOAD_WEEKEND_HOLIDAY,train
2008-04-05,3,LOAD_WEEKEND_HOLIDAY,train
2008-04-06,0,LOAD_WEEKEND_HOLIDAY,train
2008-04-12,5,LOAD_WEEKEND_HOLIDAY,train
2008-04-13,1,LOAD_WEEKEND_HOLIDAY,train
2008-04-19,0,LOAD_WEEKEND_HOLIDAY,train
2008-04-20,3,LOAD_WEEKEND_HOLIDAY,train
2008-04-26,2,LOAD_WEEKEND_HOLIDAY,train
2008-04-27,2,LOAD_WEEKEND_HOLIDAY,train
2008-05-01,2,LOAD_WEEKEND_HOLIDAY,train
2008-05-03,6,LOAD_WEEKEND_HOLIDAY,train
2008-05-04,0,LOAD_WEEKEND_HOLIDAY,train
2008-05-10,0,LOAD_WEEKEND_HOLIDAY,train
2008-05-11,4,LOAD_WEEKEND_HOLIDAY,train
2008-05-17,4,LOAD_WEEKEND_HOLIDAY,train
2008-05-18,3,LOAD_WEEKEND_HOLIDAY,train
2008-05-24,0,LOAD_WEEKEND_HOLIDAY,train
