date,cluster,group,split
2006-12-18,0,LOAD_WEEKDAY,train
2006-12-19,0,LOAD_WEEKDAY,train
2006-12-20,5,LOAD_WEEKDAY,train
2006-12-21,0,LOAD_WEEKDAY,train
2006-12-22,5,LOAD_WEEKDAY,train
2006-12-27,1,LOAD_WEEKDAY,train
2006-12-28,0,LOAD_WEEKDAY,train
2006-12-29,5,LOAD_WEEKDAY,train
2007-01-02,0,LOAD_WEEKDAY,train
2007-01-03,4,LOAD_WEEKDAY,train
2007-01-04,3,LOAD_WEEKDAY,train
2007-01-05,5,LOAD_WEEKDAY,train
2007-01-08,0,LOAD_WEEKDAY,train
2007-01-09,5,LOAD_WEEKDAY,train
2007-01-10,0,LOAD_WEEKDAY,train
2007-01-11,0,LOAD_WEEKDAY,train
2007-01-12,5,LOAD_WEEKDAY,train
2007-01-15,0,LOAD_WEEKDAY,train
2007-01-16,0,LOAD_WEEKDAY,train
2007-01-17,3,LOAD_WEEKDAY,train
2007-01-18,0,LOAD_WEEKDAY,train
2007-01-19,2,LOAD_WEEKDAY,train
2007-01-22,5,LOAD_WEEKDAY,train
2007-01-23,5,LOAD_WEEKDAY,train
2007-01-24,3,LOAD_WEEKDAY,train
2007-01-25,0,LOAD_WEEKDAY,train
2007-01-26,1,LOAD_WEEKDAY,train
2007-01-29,0,LOAD_WEEKDAY,train
2007-01-30,0,LOAD_WEEKDAY,train
2007-01-31,3,LOAD_WEEKDAY,train
2007-02-01,5,LOAD_WEEKDAY,train
2007-02-02,1,LOAD_WEEKDAY,train
2007-02-05,5,LOAD_WEEKDAY,train
2007-02-06,2,LOAD_WEEKDAY,train
2007-02-07,3,LOAD_WEEKDAY,train
2007-02-08,5,LOAD_WEEKDAY,train
2007-02-09,1,LOAD_WEEKDAY,train
2007-02-12,5,LOAD_WEEKDAY,train
2007-02-13,2,LOAD_WEEKDAY,train
2007-02-14,3,LOAD_WEEKDAY,train
2007-02-15,5,LOAD_WEEKDAY,train
2007-02-16,5,LOAD_WEEKDAY,train
2007-02-19,5,LOAD_WEEKDAY,train
2007-02-20,5,LOAD_WEEKDAY,train
2007-02-21,0,LOAD_WEEKDAY,train
2007-02-22,5,LOAD_WEEKDAY,train
2007-02-23,4,LOAD_WEEKDAY,train
