date,cluster,group,split
2006-12-17,0,LOAD_WEEKEND_HOLIDAY,train
2006-12-23,5,LOAD_WEEKEND_HOLIDAY,train
2006-12-24,0,LOAD_WEEKEND_HOLIDAY,train
2006-12-25,5,LOAD_WEEKEND_HOLIDAY,train
2006-12-26,0,LOAD_WEEKEND_HOLIDAY,train
2006-12-30,5,LOAD_WEEKEND_HOLIDAY,train
2006-12-31,5,LOAD_WEEKEND_HOLIDAY,train
2007-01-01,0,LOAD_WEEKEND_HOLIDAY,train
2007-01-06,1,LOAD_WEEKEND_HOLIDAY,train
2007-01-07,2,LOAD_WEEKEND_HOLIDAY,train
2007-01-13,5,LOAD_WEEKEND_HOLIDAY,train
2007-01-14,0,LOAD_WEEKEND_HOLIDAY,train
2007-01-20,2,LOAD_WEEKEND_HOLIDAY,train
2007-01-21,5,LOAD_WEEKEND_HOLIDAY,train
2007-01-27,1,LOAD_WEEKEND_HOLIDAY,train
2007-01-28,0,LOAD_WEEKEND_HOLIDAY,train
2007-02-03,0,LOAD_WEEKEND_HOLIDAY,train
2007-02-04,0,LOAD_WEEKEND_HOLIDAY,train
2007-02-10,5,LOAD_WEEKEND_HOLIDAY,train
2007-02-11,0,LOAD_WEEKEND_HOLIDAY,train
2007-02-17,4,LOAD_WEEKEND_HOLIDAY,train
2007-02-18,0,LOAD_WEEKEND_HOLIDAY,train
2007-02-24,3,LOAD_WEEKEND_HOLIDAY,train
2007-02-25,3,LOAD_WEEKEND_HOLIDAY,train
2007-03-03,3,LOAD_WEEKEND_HOLIDAY,train
2007-03-04,2,LOAD_WEEKEND_HOLIDAY,train
2007-03-10,5,LOAD_WEEKEND_HOLIDAY,train
2007-03-11,0,LOAD_WEEKEND_HOLIDAY,train
2007-03-17,4,LOAD_WEEKEND_HOLIDAY,train
2007-03-18,5,LOAD_WEEKEND_HOLIDAY,train
2007-03-24,5,LOAD_WEEKEND_HOLIDAY,train
2007-03-25,0,LOAD_WEEKEND_HOLIDAY,train
2007-03-31,5,LOAD_WEEKEND_HOLIDAY,train
2007-04-01,5,LOAD_WEEKEND_HOLIDAY,train
2007-04-07,1,LOAD_WEEKEND_HOLIDAY,train
2007-04-08,3,LOAD_WEEKEND_HOLIDAY,train
2007-04-14,3,LOAD_WEEKEND_HOLIDAY,train
2007-04-15,3,LOAD_WEEKEND_HOLIDAY,train
2007-04-21,4,LOAD_WEEKEND_HOLIDAY,train
2007-04-22,1,LOAD_WEEKEND_HOLIDAY,train
2007-04-28,3,LOAD_WEEKEND_HOLIDAY,train
2007-04-29,3,LOAD_WEEKEND_HOLIDAY,train
2007-05-01,4,LOAD_WEEKEND_HOLIDAY,train
2007-05-05,1,LOAD_WEEKEND_HOLIDAY,train
2007-05-06,4,LOAD_WEEKEND_HOLIDAY,train
2007-05-12,1,LOAD_WEEKEND_HOLIDAY,train
2007-05-13,1,LOAD_WEEKEND_HOLIDAY,train
2007-05-19,1,LOAD_WEEKEND_HOLIDAY,train
2007-05-20,4,LOAD_WEEKEND_HOLIDAY,train
2007-05-26,1,LOAD_WEEKEND_HOLIDAY,train
2007-05-27,2,LOAD_WEEKEND_HOLIDAY,train
2007-06-02,1,LOAD_WEEKEND_HOLIDAY,train
2007-06-03,1,LOAD_WEEKEND_HOLIDAY,train
2007-06-09,3,LOAD_WEEKEND_HOLIDAY,train
2007-06-10,1,LOAD_WEEKEND_HOLIDAY,train
2007-06-16,4,LOAD_WEEKEND_HOLIDAY,train
2007-06-17,4,LOAD_WEEKEND_HOLIDAY,train
2007-06-23,3,LOAD_WEEKEND_HOLIDAY,train
2007-06-24,3,LOAD_WEEKEND_HOLIDAY,train
2007-06-30,4,LOAD_WEEKEND_HOLIDAY,train
2007-07-01,3,LOAD_WEEKEND_HOLIDAY,train
2007-07-07,3,LOAD_WEEKEND_HOLIDAY,train
2007-07-08,3,LOAD_WEEKEND_HOLIDAY,train
2007-07-14,1,LOAD_WEEKEND_HOLIDAY,train
2007-07-15,3,LOAD_WEEKEND_HOLIDAY,train
2007-07-21,3,LOAD_WEEKEND_HOLIDAY,train
2007-07-22,1,LOAD_WEEKEND_HOLIDAY,train
2007-07-28,1,LOAD_WEEKEND_HOLIDAY,train
2007-07-29,3,LOAD_WEEKEND_HOLIDAY,train
2007-08-04,3,LOAD_WEEKEND_HOLIDAY,train
2007-08-05,3,LOAD_WEEKEND_HOLIDAY,train
2007-08-11,3,LOAD_WEEKEND_HOLIDAY,train
2007-08-12,3,LOAD_WEEKEND_HOLIDAY,train
2007-08-18,3,LOAD_WEEKEND_HOLIDAY,train
2007-08-19,4,LOAD_WEEKEND_HOLIDAY,train
2007-08-25,3,LOAD_WEEKEND_HOLIDAY,train
2007-08-26,1,LOAD_WEEKEND_HOLIDAY,train
2007-09-01,1,LOAD_WEEKEND_HOLIDAY,train
2007-09-02,1,LOAD_WEEKEND_HOLIDAY,train
2007-09-08,1,LOAD_WEEKEND_HOLIDAY,train
2007-09-09,4,LOAD_WEEKEND_HOLIDAY,train
2007-09-15,3,LOAD_WEEKEND_HOLIDAY,train
2007-09-16,4,LOAD_WEEKEND_HOLIDAY,train
2007-09-22,1,LOAD_WEEKEND_HOLIDAY,train
2007-09-23,4,LOAD_WEEKEND_HOLIDAY,train
2007-09-29,5,LOAD_WEEKEND_HOLIDAY,train
2007-09-30,1,LOAD_WEEKEND_HOLIDAY,train
2007-10-06,4,LOAD_WEEKEND_HOLIDAY,train
2007-10-07,4,LOAD_WEEKEND_HOLIDAY,train
2007-10-13,4,LOAD_WEEKEND_HOLIDAY,train
2007-10-14,4,LOAD_WEEKEND_HOLIDAY,train
2007-10-20,1,LOAD_WEEKEND_HOLIDAY,train
2007-10-21,1,LOAD_WEEKEND_HOLIDAY,train
2007-10-27,1,LOAD_WEEKEND_HOLIDAY,train
2007-10-28,3,LOAD_WEEKEND_HOLIDAY,train
2007-11-03,3,LOAD_WEEKEND_HOLIDAY,train
2007-11-04,4,LOAD_WEEKEND_HOLIDAY,train
2007-11-10,5,LOAD_WEEKEND_HOLIDAY,train
2007-11-11,4,LOAD_WEEKEND_HOLIDAY,train
2007-11-17,2,LOAD_WEEKEND_HOLIDAY,train
2007-11-18,4,LOAD_WEEKEND_HOLIDAY,train
2007-11-24,1,LOAD_WEEKEND_HOLIDAY,train
2007-11-25,4,LOAD_WEEKEND_HOLIDAY,train
2007-12-01,5,LOAD_WEEKEND_HOLIDAY,train
2007-12-02,0,LOAD_WEEKEND_HOLIDAY,train
2007-12-08,2,LOAD_WEEKEND_HOLIDAY,train
2007-12-09,2,LOAD_WEEKEND_HOLIDAY,train
2007-12-15,2,LOAD_WEEKEND_HOLIDAY,train
2007-12-16,0,LOAD_WEEKEND_HOLIDAY,train
2007-12-22,5,LOAD_WEEKEND_HOLIDAY,train
2007-12-23,2,LOAD_WEEKEND_HOLIDAY,train
2007-12-25,5,LOAD_WEEKEND_HOLIDAY,train
2007-12-26,0,LOAD_WEEKEND_HOLIDAY,train
2007-12-29,0,LOAD_WEEKEND_HOLIDAY,train
2007-12-30,2,LOAD_WEEKEND_HOLIDAY,train
2008-01-01,0,LOAD_WEEKEND_HOLIDAY,train
2008-01-05,2,LOAD_WEEKEND_HOLIDAY,train
2008-01-06,4,LOAD_WEEKEND_HOLIDAY,train
2008-01-12,5,LOAD_WEEKEND_HOLIDAY,train
2008-01-13,0,LOAD_WEEKEND_HOLIDAY,train
2008-01-19,4,LOAD_WEEKEND_HOLIDAY,train
2008-01-20,4,LOAD_WEEKEND_HOLIDAY,train
2008-01-26,5,LOAD_WEEKEND_HOLIDAY,train
2008-01-27,2,LOAD_WEEKEND_HOLIDAY,train
2008-02-02,5,LOAD_WEEKEND_HOLIDAY,train
2008-02-03,4,LOAD_WEEKEND_HOLIDAY,train
2008-02-09,4,LOAD_WEEKEND_HOLIDAY,train
2008-02-10,2,LOAD_WEEKEND_HOLIDAY,train
2008-02-16,2,LOAD_WEEKEND_HOLIDAY,train
2008-02-17,4,LOAD_WEEKEND_HOLIDAY,train
2008-02-23,2,LOAD_WEEKEND_HOLIDAY,train
2008-02-24,3,LOAD_WEEKEND_HOLIDAY,train
2008-03-01,3,LOAD_WEEKEND_HOLIDAY,train
2008-03-02,1,LOAD_WEEKEND_HOLIDAY,train
2008-03-08,2,LOAD_WEEKEND_HOLIDAY,train
2008-03-09,4,LOAD_WEEKEND_HOLIDAY,train
2008-03-15,1,LOAD_WEEKEND_HOLIDAY,train
2008-03-16,4,LOAD_WEEKEND_HOLIDAY,train
2008-03-22,4,LOAD_WEEKEND_HOLIDAY,train
2008-03-23,2,LOAD_WEEKEND_HOLIDAY,train
2008-03-29,5,LOAD_WEEKEND_HOLIDAY,train
2008-03-30,4,LOAD_WEEKEND_HOLIDAY,train
2008-04-05,4,LOAD_WEEKEND_HOLIDAY,train
2008-04-06,1,LOAD_WEEKEND_HOLIDAY,train
2008-04-12,2,LOAD_WEEKEND_HOLIDAY,train
2008-04-13,4,LOAD_WEEKEND_HOLIDAY,train
2008-04-19,4,LOAD_WEEKEND_HOLIDAY,train
2008-04-20,4,LOAD_WEEKEND_HOLIDAY,train
2008-04-26,3,LOAD_WEEKEND_HOLIDAY,train
2008-04-27,3,LOAD_WEEKEND_HOLIDAY,train
2008-05-01,3,LOAD_WEEKEND_HOLIDAY,train
2008-05-03,3,LOAD_WEEKEND_HOLIDAY,train
2008-05-04,4,LOAD_WEEKEND_HOLIDAY,train
2008-05-10,1,LOAD_WEEKEND_HOLIDAY,train
2008-05-11,1,LOAD_WEEKEND_HOLIDAY,train
2008-05-17,1,LOAD_WEEKEND_HOLIDAY,train
2008-05-18,4,LOAD_WEEKEND_HOLIDAY,train
2008-05-24,1,LOAD_WEEKEND_HOLIDAY,train
2008-05-25,4,LOAD_WEEKEND_HOLIDAY,train
2008-05-31,1,LOAD_WEEKEND_HOLIDAY,train
2008-06-01,4,LOAD_WEEKEND_HOLIDAY,train
2008-06-07,1,LOAD_WEEKEND_HOLIDAY,train
2008-06-08,4,LOAD_WEEKEND_HOLIDAY,train
2008-06-14,1,LOAD_WEEKEND_HOLIDAY,train
2008-06-15,4,LOAD_WEEKEND_HOLIDAY,train
2008-06-21,1,LOAD_WEEKEND_HOLIDAY,train
2008-06-22,1,LOAD_WEEKEND_HOLIDAY,train
2008-06-28,1,LOAD_WEEKEND_HOLIDAY,train
2008-06-29,3,LOAD_WEEKEND_HOLIDAY,train
2008-07-05,1,LOAD_WEEKEND_HOLIDAY,train
2008-07-06,1,LOAD_WEEKEND_HOLIDAY,train
2008-07-12,1,LOAD_WEEKEND_HOLIDAY,train
2008-07-13,1,LOAD_WEEKEND_HOLIDAY,train
2008-07-19,1,LOAD_WEEKEND_HOLIDAY,train
2008-07-20,3,LOAD_WEEKEND_HOLIDAY,train
