group,split,cluster,slot,value
LOAD_ALL,train,0,0,0.08626852920251193
LOAD_ALL,train,0,1,0.07482670888641275
LOAD_ALL,train,0,2,0.05898035617359547
LOAD_ALL,train,0,3,0.05129535148335177
LOAD_ALL,train,0,4,0.03873071600106854
LOAD_ALL,train,0,5,0.03804632506326343
LOAD_ALL,train,0,6,0.03365357663060449
LOAD_ALL,train,0,7,0.032111202626787114
LOAD_ALL,train,0,8,0.02823686826181228
LOAD_ALL,train,0,9,0.02938825470722982
LOAD_ALL,train,0,10,0.025866877812000786
LOAD_ALL,train,0,11,0.027085268886466736
LOAD_ALL,train,0,12,0.03216302695898581
LOAD_ALL,train,0,13,0.03342899381095456
LOAD_ALL,train,0,14,0.04892011813625594
LOAD_ALL,train,0,15,0.06000898851550779
LOAD_ALL,train,0,16,0.07519049665528059
LOAD_ALL,train,0,17,0.07641911589919002
LOAD_ALL,train,0,18,0.07968486890924788
LOAD_ALL,train,0,19,0.08029349295058909
LOAD_ALL,train,0,20,0.07996249538625036
LOAD_ALL,train,0,21,0.07962439881846226
LOAD_ALL,train,0,22,0.08135559948420493
LOAD_ALL,train,0,23,0.07269859176903853
LOAD_ALL,train,0,24,0.06733975614766467
LOAD_ALL,train,0,25,0.06501716118798764
LOAD_ALL,train,0,26,0.06341782390868503
LOAD_ALL,train,0,27,0.05947031999061368
LOAD_ALL,train,0,28,0.055817362443731006
LOAD_ALL,train,0,29,0.05615806890971706
LOAD_ALL,train,0,30,0.052422614072749396
LOAD_ALL,train,0,31,0.051472038628413645
LOAD_ALL,train,0,32,0.05474972927365789
LOAD_ALL,train,0,33,0.046065474562796145
LOAD_ALL,train,0,34,0.03525681193373089
LOAD_ALL,train,0,35,0.03502921394594923
LOAD_ALL,train,0,36,0.038660671596420323
LOAD_ALL,train,0,37,0.04065057810716505
LOAD_ALL,train,0,38,0.045548086978066914
LOAD_ALL,train,0,39,0.044809298469970664
LOAD_ALL,train,0,40,0.047094436343465045
LOAD_ALL,train,0,41,0.05151878210434244
LOAD_ALL,train,0,42,0.04512422585106238
LOAD_ALL,train,0,43,0.04362522125428291
LOAD_ALL,train,0,44,0.04815501420089946
LOAD_ALL,train,0,45,0.055631578570564874
LOAD_ALL,train,0,46,0.059306066145452724
LOAD_ALL,train,0,47,0.060873519678999975
LOAD_ALL,train,1,0,0.07511786197352374
LOAD_ALL,train,1,1,0.05082127798885429
LOAD_ALL,train,1,2,0.04641680760188927
LOAD_ALL,train,1,3,0.03917167280322112
LOAD_ALL,train,1,4,0.03766371485672561
LOAD_ALL,train,1,5,0.03575900957772279
