group,split,cluster,slot,value
LOAD_ALL,train,0,0,0.049472862946313104
LOAD_ALL,train,0,1,0.04831492549635344
LOAD_ALL,train,0,2,0.041067545507506395
LOAD_ALL,train,0,3,0.03786827356530242
LOAD_ALL,train,0,4,0.03432368430890581
LOAD_ALL,train,0,5,0.02898620989373529
LOAD_ALL,train,0,6,0.02818819297114245
LOAD_ALL,train,0,7,0.02964257564853839
LOAD_ALL,train,0,8,0.030260973049088553
LOAD_ALL,train,0,9,0.030147944179120246
LOAD_ALL,train,0,10,0.03407387200887247
LOAD_ALL,train,0,11,0.0353273144729914
LOAD_ALL,train,0,12,0.03655894947210352
LOAD_ALL,train,0,13,0.0468217956266686
LOAD_ALL,train,0,14,0.1024838897352262
LOAD_ALL,train,0,15,0.12613671411347976
LOAD_ALL,train,0,16,0.13806627366499372
LOAD_ALL,train,0,17,0.13627475147278273
LOAD_ALL,train,0,18,0.13613942836403506
LOAD_ALL,train,0,19,0.13044281225953375
LOAD_ALL,train,0,20,0.13816224111423686
LOAD_ALL,train,0,21,0.11908122034574173
LOAD_ALL,train,0,22,0.11972239875884368
LOAD_ALL,train,0,23,0.12616884118246305
LOAD_ALL,train,0,24,0.1060503838113841
LOAD_ALL,train,0,25,0.09591594857799747
LOAD_ALL,train,0,26,0.10417241059718182
LOAD_ALL,train,0,27,0.10064982351530102
LOAD_ALL,train,0,28,0.10374103168001592
LOAD_ALL,train,0,29,0.11287582829425119
LOAD_ALL,train,0,30,0.10518090849899218
LOAD_ALL,train,0,31,0.0949867948011003
LOAD_ALL,train,0,32,0.08239327582393267
LOAD_ALL,train,0,33,0.07160198806197057
LOAD_ALL,train,0,34,0.07905038128016047
LOAD_ALL,train,0,35,0.0745883451560947
LOAD_ALL,train,0,36,0.09394879840867805
LOAD_ALL,train,0,37,0.11680737836107553
LOAD_ALL,train,0,38,0.14148215993594832
LOAD_ALL,train,0,39,0.17949120847625014
LOAD_ALL,train,0,40,0.1875161608892461
LOAD_ALL,train,0,41,0.18032940046086438
LOAD_ALL,train,0,42,0.18023305170549953
LOAD_ALL,train,0,43,0.18090246299740487
LOAD_ALL,train,0,44,0.20242944895651283
LOAD_ALL,train,0,45,0.21084284683994256
LOAD_ALL,train,0,46,0.20246371783009487
LOAD_ALL,train,0,47,0.20112139047512229
LOAD_ALL,train,1,0,0.08029308016635668
LOAD_ALL,train,1,1,0.0700918006777698
LOAD_ALL,train,1,2,0.05896864017301969
LOAD_ALL,train,1,3,0.04696251170805099
LOAD_ALL,train,1,4,0.04096426893973524
LOAD_ALL,train,1,5,0.03783705874642608
LOAD_ALL,train,1,6,0.035785931087025935
LOAD_ALL,train,1,7,0.03428504769238745
LOAD_ALL,train,1,8,0.03521443824566284
LOAD_ALL,train,1,9,0.03471053123830897
LOAD_ALL,train,1,10,0.038149131214824605
LOAD_ALL,train,1,11,0.03727691554638021
LOAD_ALL,train,1,12,0.037067416528081536
LOAD_ALL,train,1,13,0.04927340108301171
LOAD_ALL,train,1,14,0.12915524875683015
LOAD_ALL,train,1,15,0.13799679001422713
LOAD_ALL,train,1,16,0.16990865330788277
LOAD_ALL,train,1,17,0.1620998440747022
LOAD_ALL,train,1,18,0.1570939695686249
LOAD_ALL,train,1,19,0.14527438483237343
LOAD_ALL,train,1,20,0.1412567824773826
LOAD_ALL,train,1,21,0.1504506177390741
LOAD_ALL,train,1,22,0.16289773239286612
LOAD_ALL,train,1,23,0.18452528461145645
LOAD_ALL,train,1,24,0.210928731762065
LOAD_ALL,train,1,25,0.24046527726576392
LOAD_ALL,train,1,26,0.24714663190433672
LOAD_ALL,train,1,27,0.22768001299149926
LOAD_ALL,train,1,28,0.23465622363128447
LOAD_ALL,train,1,29,0.20435191329351907
LOAD_ALL,train,1,30,0.18778271700514193
LOAD_ALL,train,1,31,0.18313371618318908
LOAD_ALL,train,1,32,0.17030870683040186
LOAD_ALL,train,1,33,0.15655993907717347
LOAD_ALL,train,1,34,0.14010995669045137
LOAD_ALL,train,1,35,0.1458060259256528
LOAD_ALL,train,1,36,0.1542725170056882
LOAD_ALL,train,1,37,0.17791561191804497
LOAD_ALL,train,1,38,0.19237095884500588
LOAD_ALL,train,1,39,0.2151267336790451
LOAD_ALL,train,1,40,0.20722576194494274
LOAD_ALL,train,1,41,0.21104555626554805
LOAD_ALL,train,1,42,0.21946630743771867
LOAD_ALL,train,1,43,0.222549825778739
LOAD_ALL,train,1,44,0.21463528567644535
LOAD_ALL,train,1,45,0.17143778280234084
LOAD_ALL,train,1,46,0.10549338000169299
LOAD_ALL,train,1,47,0.07804184041004797
LOAD_ALL,train,2,0,0.0682765528625189
LOAD_ALL,train,2,1,0.0592331604595072
LOAD_ALL,train,2,2,0.04871892929038325
LOAD_ALL,train,2,3,0.0429625450808114
LOAD_ALL,train,2,4,0.03462833242264248
LOAD_ALL,train,2,5,0.0311834486829138
LOAD_ALL,train,2,6,0.028299751070860777
LOAD_ALL,train,2,7,0.029220308100457656
LOAD_ALL,train,2,8,0.024036614867669757
LOAD_ALL,train,2,9,0.025948258979325185
LOAD_ALL,train,2,10,0.025368732134860815
LOAD_ALL,train,2,11,0.02627231023391879
LOAD_ALL,train,2,12,0.029363758065425943
LOAD_ALL,train,2,13,0.036320603244731346
LOAD_ALL,train,2,14,0.06938185826981244
LOAD_ALL,train,2,15,0.08103820235727055
LOAD_ALL,train,2,16,0.09585225640080239
LOAD_ALL,train,2,17,0.09616728956266195
LOAD_ALL,train,2,18,0.09313397092404987
LOAD_ALL,train,2,19,0.0884417852569991
LOAD_ALL,train,2,20,0.08562154987712436
LOAD_ALL,train,2,21,0.07375432795124276
LOAD_ALL,train,2,22,0.07119819380513318
LOAD_ALL,train,2,23,0.06147064186079926
LOAD_ALL,train,2,24,0.05579185739455798
LOAD_ALL,train,2,25,0.054109430715763455
LOAD_ALL,train,2,26,0.054244758598456004
LOAD_ALL,train,2,27,0.051356004419657764
LOAD_ALL,train,2,28,0.05092423138329849
LOAD_ALL,train,2,29,0.053393889483725025
LOAD_ALL,train,2,30,0.049269162391675385
LOAD_ALL,train,2,31,0.049578730825031926
LOAD_ALL,train,2,32,0.049578874485998965
LOAD_ALL,train,2,33,0.04730101163299463
LOAD_ALL,train,2,34,0.0389098687392138
LOAD_ALL,train,2,35,0.041142762232454534
LOAD_ALL,train,2,36,0.04178973217075723
LOAD_ALL,train,2,37,0.05000223310896156
LOAD_ALL,train,2,38,0.05890240639821569
LOAD_ALL,train,2,39,0.06503886003717746
LOAD_ALL,train,2,40,0.07233963069386475
LOAD_ALL,train,2,41,0.07115347596209623
LOAD_ALL,train,2,42,0.07133291898517502
LOAD_ALL,train,2,43,0.08136529106861197
LOAD_ALL,train,2,44,0.08085574207976734
LOAD_ALL,train,2,45,0.07257851793145058
LOAD_ALL,train,2,46,0.060167202540031245
LOAD_ALL,train,2,47,0.05360146386814141
LOAD_ALL,train,3,0,0.06684796633424049
LOAD_ALL,train,3,1,0.05088682364745514
LOAD_ALL,train,3,2,0.041155365139814465
LOAD_ALL,train,3,3,0.04091904846625568
LOAD_ALL,train,3,4,0.03662898422498544
LOAD_ALL,train,3,5,0.038269677094653266
LOAD_ALL,train,3,6,0.03219486598770948
LOAD_ALL,train,3,7,0.031902951283703386
LOAD_ALL,train,3,8,0.03195053518363574
LOAD_ALL,train,3,9,0.03539260423979555
LOAD_ALL,train,3,10,0.036625478042885184
LOAD_ALL,train,3,11,0.03694333849443335
LOAD_ALL,train,3,12,0.032070747141359594
LOAD_ALL,train,3,13,0.04359957477023483
LOAD_ALL,train,3,14,0.09482679861131146
LOAD_ALL,train,3,15,0.1220034164238385
LOAD_ALL,train,3,16,0.1603991157208389
LOAD_ALL,train,3,17,0.18682871639274365
LOAD_ALL,train,3,18,0.17647956877566515
LOAD_ALL,train,3,19,0.1563892455176968
LOAD_ALL,train,3,20,0.1456988962939454
LOAD_ALL,train,3,21,0.15384062679316168
LOAD_ALL,train,3,22,0.17700178955534393
LOAD_ALL,train,3,23,0.15713145418001018
LOAD_ALL,train,3,24,0.15220015932091457
LOAD_ALL,train,3,25,0.1364373663643736
LOAD_ALL,train,3,26,0.13338969270617954
LOAD_ALL,train,3,27,0.14339733818669081
LOAD_ALL,train,3,28,0.15007751667740554
LOAD_ALL,train,3,29,0.16490245601043754
LOAD_ALL,train,3,30,0.1508676097695456
LOAD_ALL,train,3,31,0.14534226748603138
LOAD_ALL,train,3,32,0.14991412859153264
LOAD_ALL,train,3,33,0.15142283874928267
LOAD_ALL,train,3,34,0.16713238782621517
LOAD_ALL,train,3,35,0.17721947337545557
LOAD_ALL,train,3,36,0.19906949934123847
LOAD_ALL,train,3,37,0.24336890805868897
LOAD_ALL,train,3,38,0.30845236320680613
LOAD_ALL,train,3,39,0.34874190172111463
LOAD_ALL,train,3,40,0.3475539070489086
LOAD_ALL,train,3,41,0.34443190233018856
LOAD_ALL,train,3,42,0.37383644842586455
LOAD_ALL,train,3,43,0.35052815123625974
LOAD_ALL,train,3,44,0.3230058238686451
LOAD_ALL,train,3,45,0.2909104332759522
LOAD_ALL,train,3,46,0.24630819060166878
LOAD_ALL,train,3,47,0.2075304176323694
LOAD_ALL,train,4,0,0.08571466624586611
LOAD_ALL,train,4,1,0.0638114611487853
LOAD_ALL,train,4,2,0.051618665738747606
LOAD_ALL,train,4,3,0.04299094065094593
LOAD_ALL,train,4,4,0.03870912705477413
LOAD_ALL,train,4,5,0.0357377293497553
LOAD_ALL,train,4,6,0.03483841159952738
LOAD_ALL,train,4,7,0.03149253348870577
LOAD_ALL,train,4,8,0.02812585980869757
LOAD_ALL,train,4,9,0.029584837155604414
LOAD_ALL,train,4,10,0.029724126164619256
LOAD_ALL,train,4,11,0.02993041281607239
LOAD_ALL,train,4,12,0.032313600217953015
