group,split,cluster,slot,value
PV_ALL,train,0,0,0.0
PV_ALL,train,0,1,0.0
PV_ALL,train,0,2,0.0
PV_ALL,train,0,3,0.0
PV_ALL,train,0,4,0.0
PV_ALL,train,0,5,0.0
PV_ALL,train,0,6,0.0
PV_ALL,train,0,7,0.0
PV_ALL,train,0,8,0.0
PV_ALL,train,0,9,0.0
PV_ALL,train,0,10,0.0
PV_ALL,train,0,11,0.0
PV_ALL,train,0,12,0.0
PV_ALL,train,0,13,0.0
PV_ALL,train,0,14,0.0488049593816393
PV_ALL,train,0,15,0.121300888506197
PV_ALL,train,0,16,0.2125683462646407
PV_ALL,train,0,17,0.306294583841765
PV_ALL,train,0,18,0.3936226065252303
PV_ALL,train,0,19,0.4745850097408384
PV_ALL,train,0,20,0.5447813330580368
PV_ALL,train,0,21,0.5884268142425529
PV_ALL,train,0,22,0.6203433277221576
PV_ALL,train,0,23,0.6450512701614081
PV_ALL,train,0,24,0.6497031267188405
PV_ALL,train,0,25,0.6495165392623571
PV_ALL,train,0,26,0.6207046071246343
PV_ALL,train,0,27,0.5818859261285002
PV_ALL,train,0,28,0.5385966255456952
PV_ALL,train,0,29,0.4759695806034191
PV_ALL,train,0,30,0.3997923997050167
PV_ALL,train,0,31,0.3204213905883318
PV_ALL,train,0,32,0.2375420009838322
PV_ALL,train,0,33,0.1542090257773158
PV_ALL,train,0,34,0.0803333774688258
PV_ALL,train,0,35,0.0349314549221138
PV_ALL,train,0,36,0.0157808727256747
PV_ALL,train,0,37,0.0093925839028221
PV_ALL,train,0,38,0.0
PV_ALL,train,0,39,0.0
PV_ALL,train,0,40,0.0
PV_ALL,train,0,41,0.0
PV_ALL,train,0,42,0.0
PV_ALL,train,0,43,0.0
PV_ALL,train,0,44,0.0
PV_ALL,train,0,45,0.0
PV_ALL,train,0,46,0.0
PV_ALL,train,0,47,0.0
PV_ALL,train,1,0,0.0
PV_ALL,train,1,1,0.0
PV_ALL,train,1,2,0.0
PV_ALL,train,1,3,0.0
PV_ALL,train,1,4,0.0
PV_ALL,train,1,5,0.0
PV_ALL,train,1,6,0.0
PV_ALL,train,1,7,0.0
PV_ALL,train,1,8,0.0
PV_ALL,train,1,9,0.0
PV_ALL,train,1,10,0.0
PV_ALL,train,1,11,0.0
PV_ALL,train,1,12,0.0
PV_ALL,train,1,13,0.0
PV_ALL,train,1,14,0.0123466942895986
PV_ALL,train,1,15,0.0182229510818545
PV_ALL,train,1,16,0.0311401700062883
PV_ALL,train,1,17,0.0335176457392276
PV_ALL,train,1,18,0.0515134620115401
PV_ALL,train,1,19,0.044057911184409
PV_ALL,train,1,20,0.0414761070053255
PV_ALL,train,1,21,0.0410744840787035
PV_ALL,train,1,22,0.0419299618994013
PV_ALL,train,1,23,0.0441594735439664
PV_ALL,train,1,24,0.0479548205857936
PV_ALL,train,1,25,0.040749039820218
PV_ALL,train,1,26,0.0401971002019324
PV_ALL,train,1,27,0.0473696317602231
PV_ALL,train,1,28,0.0418015846532297
PV_ALL,train,1,29,0.041193465295718
PV_ALL,train,1,30,0.0385943004653822
PV_ALL,train,1,31,0.0513008797717592
PV_ALL,train,1,32,0.0350346058949959
PV_ALL,train,1,33,0.0239790699114058
PV_ALL,train,1,34,0.0126788392660175
PV_ALL,train,1,35,0.0055350682824581
PV_ALL,train,1,36,0.002833226750184
PV_ALL,train,1,37,0.001097832420889
PV_ALL,train,1,38,0.0
PV_ALL,train,1,39,0.0
PV_ALL,train,1,40,0.0
PV_ALL,train,1,41,0.0
PV_ALL,train,1,42,0.0
PV_ALL,train,1,43,0.0
PV_ALL,train,1,44,0.0
PV_ALL,train,1,45,0.0
PV_ALL,train,1,46,0.0
PV_ALL,train,1,47,0.0
PV_ALL,train,2,0,0.0
PV_ALL,train,2,1,0.0
PV_ALL,train,2,2,0.0
PV_ALL,train,2,3,0.0
PV_ALL,train,2,4,0.0
PV_ALL,train,2,5,0.0
PV_ALL,train,2,6,0.0
PV_ALL,train,2,7,0.0
PV_ALL,train,2,8,0.0
PV_ALL,train,2,9,0.0
PV_ALL,train,2,10,0.0
PV_ALL,train,2,11,0.0
PV_ALL,train,2,12,0.0
PV_ALL,train,2,13,0.0
PV_ALL,train,2,14,0.0314671695301292
PV_ALL,train,2,15,0.074985862239155
PV_ALL,train,2,16,0.125944251031208
PV_ALL,train,2,17,0.1868104897011001
PV_ALL,train,2,18,0.2282137384012542
PV_ALL,train,2,19,0.2735794305896145
PV_ALL,train,2,20,0.2958262486126139
PV_ALL,train,2,21,0.319821074195687
PV_ALL,train,2,22,0.3439369236096994
PV_ALL,train,2,23,0.3774979376285096
PV_ALL,train,2,24,0.3729107593215949
PV_ALL,train,2,25,0.377672307559484
PV_ALL,train,2,26,0.3846314111641294
PV_ALL,train,2,27,0.3517581229290717
PV_ALL,train,2,28,0.3159427006305428
PV_ALL,train,2,29,0.2871698177476108
PV_ALL,train,2,30,0.2611097745257422
PV_ALL,train,2,31,0.2268770208942028
PV_ALL,train,2,32,0.1671729856172468
PV_ALL,train,2,33,0.122928157251343
PV_ALL,train,2,34,0.0883659762920268
PV_ALL,train,2,35,0.0540809289176731
PV_ALL,train,2,36,0.0275131919882688
PV_ALL,train,2,37,0.0133054659181425
PV_ALL,train,2,38,0.0
PV_ALL,train,2,39,0.0
PV_ALL,train,2,40,0.0
PV_ALL,train,2,41,0.0
PV_ALL,train,2,42,0.0
PV_ALL,train,2,43,0.0
PV_ALL,train,2,44,0.0
PV_ALL,train,2,45,0.0
PV_ALL,train,2,46,0.0
PV_ALL,train,2,47,0.0
PV_ALL,train,3,0,0.0
PV_ALL,train,3,1,0.0
PV_ALL,train,3,2,0.0
PV_ALL,train,3,3,0.0
PV_ALL,train,3,4,0.0
PV_ALL,train,3,5,0.0
PV_ALL,train,3,6,0.0
PV_ALL,train,3,7,0.0
PV_ALL,train,3,8,0.0
PV_ALL,train,3,9,0.0
PV_ALL,train,3,10,0.0
PV_ALL,train,3,11,0.0
PV_ALL,train,3,12,0.0
PV_ALL,train,3,13,0.0
PV_ALL,train,3,14,0.0710191450386003
PV_ALL,train,3,15,0.1569742193289869
PV_ALL,train,3,16,0.2624683310494418
PV_ALL,train,3,17,0.3684041322282965
PV_ALL,train,3,18,0.4775605643986919
PV_ALL,train,3,19,0.5775427105872515
PV_ALL,train,3,20,0.6566093436760604
PV_ALL,train,3,21,0.7161211851945116
PV_ALL,train,3,22,0.7568848071229413
PV_ALL,train,3,23,0.7856647902697106
PV_ALL,train,3,24,0.7954984914883713
PV_ALL,train,3,25,0.7875202015177628
PV_ALL,train,3,26,0.7649145122428713
PV_ALL,train,3,27,0.7420989359832658
PV_ALL,train,3,28,0.7081156129014441
PV_ALL,train,3,29,0.6621953477356362
PV_ALL,train,3,30,0.6162032548449361
PV_ALL,train,3,31,0.5349718328900637
PV_ALL,train,3,32,0.465012247318443
PV_ALL,train,3,33,0.3772905579887196
PV_ALL,train,3,34,0.2779977749875239
PV_ALL,train,3,35,0.1947919722996381
PV_ALL,train,3,36,0.1230108379300112
PV_ALL,train,3,37,0.0716674621296968
PV_ALL,train,3,38,0.0
PV_ALL,train,3,39,0.0
PV_ALL,train,3,40,0.0
PV_ALL,train,3,41,0.0
PV_ALL,train,3,42,0.0
PV_ALL,train,3,43,0.0
PV_ALL,train,3,44,0.0
PV_ALL,train,3,45,0.0
PV_ALL,train,3,46,0.0
PV_ALL,train,3,47,0.0
