group,split,cluster,slot,value
PV_ALL,train,0,0,0.04880495938163931
PV_ALL,train,0,1,0.12130088850619707
PV_ALL,train,0,2,0.2125683462646407
PV_ALL,train,0,3,0.306294583841765
PV_ALL,train,0,4,0.39362260652523035
PV_ALL,train,0,5,0.47458500974083845
PV_ALL,train,0,6,0.5447813330580368
PV_ALL,train,0,7,0.5884268142425529
PV_ALL,train,0,8,0.6203433277221576
PV_ALL,train,0,9,0.6450512701614081
PV_ALL,train,0,10,0.6497031267188405
PV_ALL,train,0,11,0.6495165392623571
PV_ALL,train,0,12,0.6207046071246343
PV_ALL,train,0,13,0.5818859261285002
PV_ALL,train,0,14,0.5385966255456952
PV_ALL,train,0,15,0.47596958060341915
PV_ALL,train,0,16,0.3997923997050167
PV_ALL,train,0,17,0.32042139058833186
PV_ALL,train,0,18,0.2375420009838322
PV_ALL,train,0,19,0.1542090257773158
PV_ALL,train,0,20,0.08033337746882589
PV_ALL,train,0,21,0.03493145492211383
PV_ALL,train,0,22,0.01578087272567471
PV_ALL,train,0,23,0.009392583902822193
PV_ALL,train,1,0,0.012346694289598637
PV_ALL,train,1,1,0.01822295108185455
PV_ALL,train,1,2,0.031140170006288364
PV_ALL,train,1,3,0.033517645739227615
PV_ALL,train,1,4,0.05151346201154016
PV_ALL,train,1,5,0.04405791118440904
PV_ALL,train,1,6,0.04147610700532556
PV_ALL,train,1,7,0.04107448407870353
PV_ALL,train,1,8,0.04192996189940133
PV_ALL,train,1,9,0.044159473543966474
PV_ALL,train,1,10,0.04795482058579365
PV_ALL,train,1,11,0.04074903982021804
PV_ALL,train,1,12,0.04019710020193247
PV_ALL,train,1,13,0.047369631760223165
PV_ALL,train,1,14,0.041801584653229765
PV_ALL,train,1,15,0.04119346529571802
PV_ALL,train,1,16,0.03859430046538223
PV_ALL,train,1,17,0.05130087977175924
PV_ALL,train,1,18,0.03503460589499597
PV_ALL,train,1,19,0.023979069911405825
PV_ALL,train,1,20,0.012678839266017511
PV_ALL,train,1,21,0.005535068282458119
PV_ALL,train,1,22,0.0028332267501840805
PV_ALL,train,1,23,0.0010978324208890142
PV_ALL,train,2,0,0.031467169530129215
PV_ALL,train,2,1,0.07498586223915502
PV_ALL,train,2,2,0.12594425103120802
PV_ALL,train,2,3,0.18681048970110012
PV_ALL,train,2,4,0.22821373840125425
PV_ALL,train,2,5,0.2735794305896145
PV_ALL,train,2,6,0.2958262486126139
PV_ALL,train,2,7,0.319821074195687
PV_ALL,train,2,8,0.3439369236096994
PV_ALL,train,2,9,0.37749793762850964
PV_ALL,train,2,10,0.3729107593215949
PV_ALL,train,2,11,0.37767230755948406
PV_ALL,train,2,12,0.38463141116412947
PV_ALL,train,2,13,0.35175812292907177
PV_ALL,train,2,14,0.3159427006305428
PV_ALL,train,2,15,0.28716981774761086
PV_ALL,train,2,16,0.26110977452574224
PV_ALL,train,2,17,0.22687702089420284
PV_ALL,train,2,18,0.16717298561724686
PV_ALL,train,2,19,0.12292815725134308
PV_ALL,train,2,20,0.08836597629202687
PV_ALL,train,2,21,0.05408092891767315
PV_ALL,train,2,22,0.02751319198826889
PV_ALL,train,2,23,0.013305465918142505
PV_ALL,train,3,0,0.07101914503860032
PV_ALL,train,3,1,0.15697421932898692
PV_ALL,train,3,2,0.26246833104944184
PV_ALL,train,3,3,0.36840413222829654
PV_ALL,train,3,4,0.47756056439869193
PV_ALL,train,3,5,0.5775427105872515
PV_ALL,train,3,6,0.6566093436760604
PV_ALL,train,3,7,0.7161211851945116
PV_ALL,train,3,8,0.7568848071229413
PV_ALL,train,3,9,0.7856647902697106
PV_ALL,train,3,10,0.7954984914883713
PV_ALL,train,3,11,0.7875202015177628
PV_ALL,train,3,12,0.7649145122428713
PV_ALL,train,3,13,0.7420989359832658
PV_ALL,train,3,14,0.7081156129014441
PV_ALL,train,3,15,0.6621953477356362
PV_ALL,train,3,16,0.6162032548449361
PV_ALL,train,3,17,0.5349718328900637
PV_ALL,train,3,18,0.465012247318443
PV_ALL,train,3,19,0.37729055798871963
PV_ALL,train,3,20,0.2779977749875239
PV_ALL,train,3,21,0.19479197229963813
PV_ALL,train,3,22,0.1230108379300112
PV_ALL,train,3,23,0.07166746212969687
